#,Name,MLBAMID,RazzballID,FangraphsID,Team,ESPN_POS,YAHOO_POS
1,A.J. Alexy,669935,669935,22343,TEX,SP,SP
2,A.J. Cole,595918,11467,11467,FA,RP,RP
3,A.J. Minter,621345,621345,18655,ATL,RP,RP
4,A.J. Puckett,643494,643494,sa738686,ATL,SP,SP
5,A.J. Puk,640462,640462,19343,OAK,RP,RP
6,A.J. Ramos,573109,8350,8350,FA,RP,RP
7,Aaron Altherr,571437,11270,11270,FA,OF,OF
8,Aaron Antonini,689577,689577,sa3010906,STL,C,C
9,Aaron Ashby,676879,676879,23550,MIL,SP,SP
10,Aaron Barrett,502578,11243,11243,PHI,RP,RP
11,Aaron Blair,594760,14934,14934,FA,SP,SP
12,Aaron Bracho,677570,677570,sa3010018,CLE,2B,2B
13,Aaron Brooks,605156,12272,12272,STL,RP,RP
14,Aaron Brown,676345,676345,sa3017500,OAK,SP,SP
15,Aaron Bummer,607481,607481,16258,CHW,RP,RP
16,Aaron Civale,650644,650644,19479,CLE,SP,SP
17,Aaron Cohn,703110,703110,sa3017210,OAK,RP,RP
18,Aaron Davenport,702126,702126,sa3017615,CLE,SP,SP
19,Aaron Fletcher,667465,667465,22052,PIT,RP,RP
20,Aaron Fossas,670579,670579,sa919827,CIN,RP,RP
21,Aaron Hernandez,669443,669443,sa3008599,LAA,SP,SP
22,Aaron Hicks,543305,5297,5297,NYY,OF,OF
23,Aaron Judge,592450,15640,15640,NYY,OF,OF
24,Aaron Knapp,669235,669235,sa873277,FA,OF,OF
25,Aaron Leasher,669468,669468,sa3004701,SD,SP,SP
26,Aaron Loup,571901,10343,10343,LAA,RP,RP
27,Aaron Nola,605400,16149,16149,PHI,SP,SP
28,Aaron Northcraft,573062,573062,10218,SD,RP,RP
29,Aaron Palensky,695312,695312,sa3015077,NYY,OF,OF
30,Aaron Pinto,681259,681259,sa3006823,CLE,RP,RP
31,Aaron Rozek,702065,702065,sa3015224,MIN,SP,SP
32,Aaron Sabato,693306,693306,sa3014494,MIN,1B,1B
33,Aaron Sanchez,592717,11490,11490,WSH,SP,SP
34,Aaron Schunk,668845,668845,sa3009957,COL,3B,3B
35,Aaron Shackelford,687823,687823,sa1169950,PIT,3B,3B
36,Aaron Shortridge,663336,663336,sa3006759,PIT,SP,SP
37,Aaron Slegers,642083,642083,15231,TB,RP,RP
38,Aaron Vukovich,691021,691021,sa3014525,ARI,3B,3B
