Season,Name,Team,PA,HR,SB,K%,BB%,BABIP,ISO,HR/FB,FB%,wRC+,SwStr%,O-Swing%,Swing%,Contact%,maxEV,Barrel%,playerid,seasonct,seasonid
2006,Travis Hafner,CLE,564,42,0,19.70%,17.70%,0.323,0.35,30.20%,40.30%,176,10.50%,19.20%,39.40%,72.70%,,,1573,1,1573s1
2006,Albert Pujols,STL,634,49,7,7.90%,14.50%,0.292,0.34,22.50%,44.70%,174,5.50%,19.20%,41.70%,86.20%,,,1177,1,1177s1
2006,Luke Scott,HOU,249,10,2,17.30%,12.00%,0.383,0.285,14.70%,39.50%,165,9.70%,19.60%,46.70%,78.80%,,,3469,1,3469s1
2006,Ryan Howard,PHI,704,58,0,25.70%,15.30%,0.356,0.346,39.50%,36.20%,162,14.20%,25.30%,46.00%,67.50%,,,2154,1,2154s1
2006,Manny Ramirez,BOS,558,35,0,18.30%,17.90%,0.341,0.298,23.50%,42.00%,163,9.30%,21.30%,44.00%,78.30%,,,210,1,210s1
2006,David Ortiz,BOS,686,54,1,17.10%,17.30%,0.27,0.349,26.10%,46.80%,157,9.20%,18.30%,42.90%,77.90%,,,745,1,745s1
2006,Lance Berkman,HOU,646,45,3,16.40%,15.20%,0.316,0.306,24.60%,41.80%,158,9.30%,19.70%,46.50%,79.20%,,,548,1,548s1
2006,Chipper Jones,ATL,477,26,6,15.30%,12.80%,0.339,0.273,19.10%,39.80%,155,7.60%,15.00%,43.40%,82.30%,,,97,1,97s1
2006,Jim Thome,CHW,610,42,0,24.10%,17.50%,0.321,0.31,27.80%,43.10%,153,10.60%,14.70%,38.10%,71.90%,,,409,1,409s1
2006,Jermaine Dye,CHW,611,44,7,19.30%,9.70%,0.328,0.306,25.40%,40.40%,151,9.20%,20.10%,42.40%,78.30%,,,911,1,911s1
2006,Miguel Cabrera,FLA,676,26,9,16.00%,12.70%,0.379,0.229,15.60%,35.50%,153,8.40%,22.30%,44.80%,80.40%,,,1744,1,1744s1
2006,Matt Holliday,COL,667,34,10,16.50%,7.00%,0.351,0.261,20.00%,34.30%,139,11.50%,27.20%,54.50%,78.80%,,,1873,1,1873s1
2006,Barry Bonds,SFG,493,26,3,10.30%,23.30%,0.251,0.275,16.60%,49.50%,146,4.90%,13.20%,37.10%,85.80%,,,1109,1,1109s1
2006,Garrett Atkins,COL,695,29,4,10.90%,11.40%,0.335,0.228,13.20%,41.10%,138,4.40%,14.30%,39.50%,88.60%,,,1790,1,1790s1
2006,Carlos Beltran,NYM,617,41,18,16.00%,15.40%,0.263,0.32,21.10%,46.60%,148,5.90%,16.20%,37.30%,84.20%,,,589,1,589s1
2006,Jason Giambi,NYY,579,37,2,18.30%,19.00%,0.245,0.305,20.00%,53.30%,147,6.90%,12.80%,36.60%,80.90%,,,818,1,818s1
2006,Wes Helms,FLA,278,10,0,19.80%,7.60%,0.383,0.246,14.70%,35.80%,146,9.90%,19.60%,45.20%,77.90%,,,94,1,94s1
