idlevelorg,Name,Org,Age,Level,PA,xSpect,K%,ISO,BB%,OPS,BABIP,AVG,OBP,SLG,XBH,HR,SB,CS,eFB%,eGB%,eLD%,Days,Date
21454-AAA-STL,Lars Nootbaar,STL,24,AAA,14,6.364,0.071,0.909,0.214,1.935,0.286,0.455,0.571,1.364,4,3,0,0,0.571,0.143,0.286,18,2022-06-01
16448-AAA-BAL,Jacob Nottingham,BAL,27,AAA,39,2.229,0.128,0.571,0.256,1.528,0.333,0.393,0.564,0.964,6,5,2,0,0.389,0.389,0.167,18,2022-06-01
18433-AAA-CHC,P.J. Higgins,CHC,29,AAA,13,1.773,0.077,0.273,0.077,1.524,0.583,0.636,0.615,0.909,3,0,0,0,0.25,0.333,0.417,18,2022-06-01
18425-AAA-CIN,Trey Amburgey,CIN,27,AAA,18,1.108,0.278,0.615,0.278,1.423,0.333,0.308,0.5,0.923,3,2,0,1,0.667,0.0,0.333,18,2022-06-01
sa3007516-AAA-OAK,Jonah Bride,OAK,26,AAA,23,3.833,0.043,0.333,0.043,1.422,0.526,0.524,0.565,0.857,5,1,0,0,0.263,0.526,0.263,18,2022-06-01
21622-AAA-ARI,Jake McCarthy,ARI,24,AAA,21,inf,0.0,0.5,0.143,1.399,0.286,0.375,0.524,0.875,3,2,1,0,0.286,0.571,0.143,18,2022-06-01
19667-AAA-TEX,Zach Reks,TEX,28,AAA,37,0.997,0.243,0.485,0.108,1.396,0.5,0.424,0.486,0.909,8,4,0,0,0.35,0.4,0.35,18,2022-06-01
sa1115762-AAA-KCR,Vinnie Pasquantino,KCR,24,AAA,64,1.296,0.203,0.526,0.062,1.334,0.366,0.386,0.422,0.912,15,7,0,0,0.439,0.22,0.341,18,2022-06-01
sa829756-AAA-TBR,Tristan Gray,TBR,26,AAA,50,0.833,0.32,0.533,0.08,1.309,0.409,0.356,0.42,0.889,10,7,2,1,0.409,0.409,0.136,18,2022-06-01
sa3003959-AAA-TOR,Cullen Large,TOR,26,AAA,31,1.052,0.194,0.407,0.129,1.299,0.444,0.407,0.484,0.815,5,3,3,0,0.556,0.389,0.056,18,2022-06-01
16042-AAA-CHW,Mark Payton,CHW,30,AAA,56,1.296,0.161,0.417,0.143,1.295,0.412,0.396,0.482,0.812,9,5,2,2,0.471,0.206,0.324,18,2022-06-01
15535-AAA-SEA,Joseph Odom,SEA,30,AAA,20,0.635,0.35,0.444,0.1,1.283,0.556,0.389,0.45,0.833,4,2,0,0,0.444,0.444,0.222,18,2022-06-01
15482-AAA-CIN,Aristides Aquino,CIN,28,AAA,21,0.667,0.333,0.444,0.048,1.262,0.455,0.389,0.429,0.833,4,2,1,0,0.364,0.182,0.455,18,2022-06-01
sa913274-AAA-HOU,Corey Julks,HOU,26,AAA,60,1.228,0.2,0.491,0.05,1.26,0.368,0.368,0.4,0.86,12,7,1,0,0.368,0.368,0.289,18,2022-06-01
sa873706-AAA-LAA,David MacKinnon,LAA,27,AAA,67,1.001,0.209,0.418,0.149,1.245,0.395,0.364,0.463,0.782,11,5,0,0,0.526,0.263,0.237,18,2022-06-01
14553-AAA-SDP,Nomar Mazara,SDP,27,AAA,53,1.065,0.17,0.362,0.094,1.238,0.457,0.404,0.472,0.766,11,3,0,0,0.4,0.286,0.314,18,2022-06-01
sa915614-AAA-LAA,Colby Fitch,LAA,26,AAA,17,0.708,0.294,0.417,0.059,1.221,0.375,0.333,0.471,0.75,2,1,0,0,0.375,0.25,0.375,18,2022-06-01
sa1115829-AAA-BAL,Kyle Stowers,BAL,24,AAA,61,0.941,0.246,0.463,0.115,1.206,0.344,0.333,0.41,0.796,11,7,1,0,0.312,0.469,0.219,18,2022-06-01
15654-AAA-OAK,Billy McKinney,OAK,27,AAA,62,0.842,0.21,0.353,0.177,1.174,0.394,0.353,0.468,0.706,8,5,1,0,0.424,0.242,0.333,18,2022-06-01
sa3004179-AAA-SDP,Matthew Batten,SDP,27,AAA,47,0.954,0.255,0.487,0.17,1.173,0.273,0.282,0.404,0.769,9,5,1,0,0.636,0.091,0.318,18,2022-06-01
sa511026-AAA-SDP,Aderlin Rodriguez,SDP,30,AAA,52,0.657,0.308,0.404,0.019,1.17,0.429,0.362,0.404,0.766,9,5,0,0,0.286,0.429,0.286,18,2022-06-01
14352-AAA-HOU,Lewis Brinson,HOU,28,AAA,57,0.796,0.281,0.447,0.123,1.169,0.333,0.319,0.404,0.766,9,6,0,0,0.407,0.444,0.111,18,2022-06-01
sa3014466-AAA-STL,Alec Burleson,STL,23,AAA,67,1.473,0.104,0.308,0.015,1.156,0.415,0.415,0.433,0.723,10,5,2,0,0.302,0.396,0.302,18,2022-06-01
16357-AAA-MIL,Pablo Reyes,MIL,28,AAA,53,4.24,0.038,0.32,0.057,1.154,0.364,0.4,0.434,0.72,8,4,4,0,0.409,0.341,0.25,18,2022-06-01
sa915707-AAA-MIN,Kevin Merrell,MIN,26,AAA,21,0.63,0.238,0.3,0.048,1.129,0.462,0.4,0.429,0.7,2,2,0,1,0.154,0.538,0.308,18,2022-06-01
21562-AAA-CHW,Romy Gonzalez,CHW,25,AAA,11,0.458,0.364,0.333,0.182,1.121,0.5,0.333,0.455,0.667,1,1,0,1,0.5,0.0,0.5,18,2022-06-01
19878-AAA-CHW,Adam Haseley,CHW,26,AAA,54,0.98,0.167,0.327,0.074,1.12,0.371,0.367,0.426,0.694,6,5,6,0,0.343,0.429,0.229,18,2022-06-01
18206-AAA-NYM,Nick Dini,NYM,28,AAA,28,1.12,0.179,0.4,0.071,1.113,0.294,0.32,0.393,0.72,4,3,0,0,0.706,0.176,0.059,18,2022-06-01
24589-AAA-CLE,Richie Palacios,CLE,25,AAA,13,2.955,0.077,0.455,0.154,1.112,0.222,0.273,0.385,0.727,2,1,1,0,0.222,0.444,0.333,18,2022-06-01
sa3007634-AAA-BOS,Triston Casas,BOS,22,AAA,13,0.722,0.154,0.222,0.308,1.094,0.429,0.333,0.538,0.556,2,0,0,0,0.143,0.286,0.571,18,2022-06-01
sa881850-AAA-BOS,Ronaldo Hernandez,BOS,24,AAA,45,0.547,0.222,0.243,0.089,1.093,0.481,0.405,0.444,0.649,5,2,0,0,0.444,0.37,0.222,18,2022-06-01
19627-AAA-SDP,Brent Rooker,SDP,27,AAA,59,0.774,0.271,0.42,0.153,1.09,0.286,0.28,0.39,0.7,9,6,2,0,0.536,0.25,0.214,18,2022-06-01
sa604598-AAA-WSN,Joey Meneses,WSN,30,AAA,64,1.263,0.125,0.316,0.094,1.089,0.341,0.351,0.422,0.667,8,5,0,0,0.409,0.295,0.273,18,2022-06-01
sa3006895-AAA-PIT,Ji-hwan Bae,PIT,22,AAA,61,1.043,0.148,0.308,0.131,1.08,0.372,0.346,0.426,0.654,9,2,2,3,0.349,0.395,0.256,18,2022-06-01
sa3010586-AAA-MIN,Spencer Steer,MIN,24,AAA,36,1.35,0.111,0.3,0.139,1.078,0.333,0.333,0.444,0.633,5,2,0,0,0.333,0.458,0.208,18,2022-06-01
17710-AAA-SDP,Matt Beaty,SDP,29,AAA,17,0.5,0.235,0.235,0.0,1.059,0.5,0.412,0.412,0.647,2,1,0,0,0.167,0.75,0.083,18,2022-06-01
19354-AAA-TBR,Luke Raley,TBR,27,AAA,27,0.675,0.222,0.3,0.111,1.044,0.286,0.3,0.444,0.6,2,2,0,0,0.429,0.571,0.071,18,2022-06-01
22263-AAA-STL,Nolan Gorman,STL,22,AAA,147,0.542,0.34,0.368,0.082,1.044,0.371,0.308,0.367,0.677,19,15,3,0,0.471,0.271,0.271,18,2022-06-01
12092-AAA-HOU,Niko Goodrum,HOU,30,AAA,54,0.566,0.204,0.231,0.278,1.038,0.385,0.308,0.5,0.538,5,2,2,0,0.308,0.423,0.269,18,2022-06-01
18288-AAA-SFG,Austin Dean,SFG,28,AAA,42,0.957,0.214,0.41,0.071,1.026,0.24,0.282,0.333,0.692,6,5,0,0,0.4,0.32,0.24,18,2022-06-01
sa3006893-AAA-TOR,Jordan Groshans,TOR,22,AAA,47,0.397,0.17,0.135,0.191,1.024,0.464,0.378,0.511,0.514,3,1,1,0,0.214,0.536,0.25,18,2022-06-01
19931-AAA-MIA,Luke Williams,MIA,25,AAA,13,0.542,0.308,0.333,0.308,1.017,0.25,0.222,0.462,0.556,1,1,4,0,0.5,0.0,0.5,18,2022-06-01
21635-AAA-PHI,Nick Maton,PHI,25,AAA,53,0.678,0.189,0.256,0.151,1.015,0.382,0.326,0.434,0.581,8,1,1,0,0.588,0.235,0.176,18,2022-06-01
sa918457-AAA-SDP,Taylor Kohlwey,SDP,27,AAA,41,0.994,0.122,0.242,0.171,1.015,0.345,0.333,0.439,0.576,5,1,0,0,0.276,0.345,0.345,18,2022-06-01
22558-AAA-SEA,Jarred Kelenic,SEA,22,AAA,55,0.385,0.382,0.294,0.073,1.009,0.519,0.333,0.382,0.627,8,3,1,0,0.407,0.444,0.185,18,2022-06-01
sa829117-AAA-ARI,Stone Garrett,ARI,26,AAA,59,0.979,0.22,0.431,0.085,1.008,0.206,0.255,0.322,0.686,9,6,1,0,0.471,0.324,0.206,18,2022-06-01
sa1115778-AAA-ARI,Dominic Fletcher,ARI,24,AAA,44,0.507,0.182,0.184,0.114,1.007,0.448,0.368,0.455,0.553,4,1,0,1,0.172,0.655,0.172,18,2022-06-01
sa857222-AAA-PIT,Jason Delay,PIT,27,AAA,20,0.833,0.1,0.167,0.1,1.006,0.438,0.389,0.45,0.556,3,0,0,0,0.812,0.125,0.062,18,2022-06-01
sa3007074-AAA-KCR,Nate Eaton,KCR,25,AAA,19,1.188,0.211,0.5,0.158,1.003,0.1,0.188,0.316,0.688,3,2,1,0,0.7,0.2,0.1,18,2022-06-01
sa3004065-AAA-ARI,Jancarlos Cintron,ARI,27,AAA,13,0.5,0.231,0.231,0.0,1.0,0.5,0.385,0.385,0.615,2,0,0,0,0.0,0.6,0.4,18,2022-06-01
14131-AAA-NYY,Greg Bird,NYY,29,AAA,48,1.156,0.125,0.289,0.062,0.997,0.333,0.333,0.375,0.622,7,3,1,0,0.25,0.5,0.25,18,2022-06-01
19521-AAA-WSN,Andrew Young,WSN,28,AAA,30,0.514,0.233,0.24,0.1,0.993,0.375,0.32,0.433,0.56,2,2,1,1,0.312,0.562,0.125,18,2022-06-01
sa917141-AAA-SDP,Kelvin Melean,SDP,23,AAA,24,0.474,0.167,0.158,0.167,0.985,0.412,0.368,0.458,0.526,3,0,0,0,0.118,0.647,0.353,18,2022-06-01
20321-AAA-SFG,Stuart Fairchild,SFG,26,AAA,16,0.582,0.312,0.364,0.25,0.983,0.2,0.182,0.438,0.545,2,1,2,0,0.4,0.4,0.2,18,2022-06-01
18032-AAA-MIL,Mark Mathias,MIL,27,AAA,25,0.694,0.12,0.167,0.2,0.98,0.312,0.333,0.48,0.5,1,1,1,0,0.5,0.25,0.25,18,2022-06-01
19952-AAA-NYM,Khalil Lee,NYM,24,AAA,31,0.574,0.258,0.296,0.097,0.98,0.353,0.296,0.387,0.593,4,2,3,0,0.471,0.353,0.176,18,2022-06-01
21711-AAA-PIT,Oneil Cruz,PIT,23,AAA,62,0.612,0.242,0.296,0.113,0.98,0.324,0.296,0.387,0.593,6,5,2,1,0.353,0.441,0.176,18,2022-06-01
17714-AAA-BOS,Christin Stewart,BOS,28,AAA,52,0.385,0.288,0.222,0.096,0.979,0.444,0.333,0.423,0.556,4,3,3,0,0.593,0.259,0.222,18,2022-06-01
sa737626-AAA-STL,Ben DeLuzio,STL,27,AAA,51,0.793,0.196,0.311,0.078,0.973,0.312,0.289,0.373,0.6,8,3,5,0,0.312,0.375,0.281,18,2022-06-01
19181-AAA-TOR,Zack Collins,TOR,27,AAA,22,0.825,0.227,0.375,0.273,0.972,0.111,0.188,0.409,0.562,2,2,0,0,0.667,0.333,0.0,18,2022-06-01
18887-AAA-CHW,Seby Zavala,CHW,28,AAA,48,0.4,0.375,0.3,0.167,0.971,0.421,0.275,0.396,0.575,6,3,0,0,0.474,0.263,0.211,18,2022-06-01
sa3003226-AAA-TOR,Gabriel Moreno,TOR,22,AAA,38,0.814,0.105,0.171,0.053,0.964,0.4,0.371,0.421,0.543,4,1,1,0,0.2,0.5,0.333,18,2022-06-01
sa3007512-AAA-PIT,Travis Swaggerty,PIT,24,AAA,61,0.403,0.23,0.185,0.115,0.963,0.462,0.352,0.426,0.537,6,1,2,2,0.308,0.41,0.282,18,2022-06-01
18899-AAA-WSN,Lucius Fox,WSN,24,AAA,34,0.32,0.353,0.226,0.059,0.963,0.556,0.355,0.382,0.581,4,1,1,1,0.278,0.556,0.167,18,2022-06-01
sa3004617-AAA-ARI,Buddy Kennedy,ARI,23,AAA,62,0.455,0.145,0.132,0.129,0.961,0.435,0.377,0.452,0.509,5,0,3,1,0.239,0.457,0.283,18,2022-06-01
sa738300-AAA-CHC,Narciso Crook,CHC,26,AAA,19,0.466,0.316,0.294,0.105,0.957,0.4,0.294,0.368,0.588,3,1,1,1,0.2,0.7,0.2,18,2022-06-01
15104-AAA-MIL,Jonathan Davis,MIL,30,AAA,65,0.425,0.231,0.196,0.169,0.956,0.389,0.314,0.446,0.51,6,2,4,1,0.306,0.417,0.306,18,2022-06-01
19508-AAA-SEA,Kyle Lewis,SEA,26,AAA,19,0.633,0.211,0.267,0.158,0.954,0.3,0.267,0.421,0.533,2,1,0,0,0.5,0.3,0.1,18,2022-06-01
sa3004885-AAA-PIT,Mason Martin,PIT,23,AAA,70,0.552,0.371,0.41,0.114,0.954,0.233,0.23,0.314,0.639,10,7,2,1,0.567,0.267,0.133,18,2022-06-01
17468-AAA-BAL,Kelvin Gutierrez,BAL,27,AAA,55,0.51,0.2,0.204,0.091,0.951,0.395,0.347,0.4,0.551,6,2,3,1,0.289,0.526,0.158,18,2022-06-01
20325-AAA-MIN,Alex Kirilloff,MIN,24,AAA,67,0.513,0.134,0.138,0.134,0.948,0.404,0.362,0.448,0.5,4,2,0,0,0.277,0.468,0.277,18,2022-06-01
14137-AAA-COL,Tim Lopes,COL,28,AAA,47,0.625,0.234,0.293,0.085,0.947,0.333,0.293,0.362,0.585,7,2,2,2,0.267,0.333,0.4,18,2022-06-01
sa3007063-AAA-SFG,David Villar,SFG,25,AAA,52,0.555,0.308,0.341,0.173,0.946,0.238,0.22,0.385,0.561,6,4,0,0,0.571,0.286,0.143,18,2022-06-01
sa737020-AAA-SDP,Luis Liberato,SDP,26,AAA,37,0.543,0.297,0.323,0.081,0.937,0.318,0.29,0.324,0.613,6,2,0,0,0.409,0.273,0.318,18,2022-06-01
20493-AAA-ARI,Seth Beer,ARI,25,AAA,55,0.64,0.218,0.279,0.091,0.935,0.267,0.256,0.4,0.535,6,3,0,0,0.5,0.467,0.033,18,2022-06-01
13167-AAA-CHC,Robel Garcia,CHC,29,AAA,62,0.526,0.242,0.255,0.097,0.935,0.342,0.309,0.371,0.564,6,4,0,0,0.316,0.237,0.421,18,2022-06-01
17766-AAA-BAL,DJ Stewart,BAL,28,AAA,18,0.6,0.333,0.4,0.167,0.933,0.143,0.2,0.333,0.6,2,2,0,0,0.571,0.286,0.143,18,2022-06-01
17922-AAA-SFG,Isan Diaz,SFG,26,AAA,48,0.612,0.292,0.357,0.125,0.929,0.25,0.238,0.333,0.595,6,4,1,0,0.292,0.417,0.333,18,2022-06-01
sa857219-AAA-CLE,Gavin Collins,CLE,26,AAA,14,0.417,0.429,0.357,0.0,0.929,0.429,0.286,0.286,0.643,3,1,0,0,0.429,0.286,0.429,18,2022-06-01
sa881025-AAA-OAK,Dermis Garcia,OAK,24,AAA,53,0.485,0.283,0.275,0.038,0.928,0.394,0.314,0.34,0.588,8,3,2,0,0.364,0.273,0.364,18,2022-06-01
sa873988-AAA-ARI,Camden Duzenack,ARI,27,AAA,39,0.506,0.179,0.182,0.128,0.925,0.37,0.333,0.41,0.515,4,1,0,1,0.37,0.333,0.296,18,2022-06-01
sa915652-AAA-COL,Sean Bouchard,COL,26,AAA,17,0.486,0.294,0.286,0.059,0.924,0.3,0.286,0.353,0.571,2,1,1,0,0.5,0.2,0.3,18,2022-06-01
sa3004056-AAA-MIN,David Banuelos,MIN,25,AAA,24,0.545,0.292,0.318,0.083,0.924,0.308,0.273,0.333,0.591,3,2,0,0,0.308,0.385,0.308,18,2022-06-01
22275-AAA-CHW,Jake Burger,CHW,26,AAA,33,0.688,0.242,0.333,0.182,0.919,0.188,0.222,0.364,0.556,3,3,0,0,0.625,0.438,0.062,18,2022-06-01
17276-AAA-MIL,Alex Jackson,MIL,26,AAA,23,1.009,0.13,0.263,0.13,0.918,0.312,0.263,0.391,0.526,4,0,1,0,0.562,0.375,0.062,18,2022-06-01
sa918012-AAA-STL,Conner Capel,STL,25,AAA,54,0.276,0.296,0.163,0.093,0.918,0.5,0.347,0.407,0.51,6,1,3,1,0.281,0.375,0.344,18,2022-06-01
sa738505-AAA-CIN,Chris Okey,CIN,27,AAA,17,0.531,0.235,0.25,0.059,0.915,0.417,0.312,0.353,0.562,2,0,0,0,0.083,0.333,0.583,18,2022-06-01
sa829152-AAA-SEA,Brian O'Keefe,SEA,28,AAA,41,0.469,0.22,0.206,0.146,0.915,0.375,0.294,0.415,0.5,4,1,0,0,0.375,0.333,0.25,18,2022-06-01
sa739013-AAA-ARI,Dominic Miroglio,ARI,27,AAA,16,0.615,0.25,0.308,0.188,0.913,0.25,0.231,0.375,0.538,2,1,0,0,0.625,-0.125,0.25,18,2022-06-01
18848-AAA-TEX,Yohel Pozo,TEX,25,AAA,46,0.871,0.065,0.114,0.043,0.913,0.4,0.386,0.413,0.5,3,1,0,0,0.2,0.5,0.3,18,2022-06-01
19422-AAA-COL,Brian Serven,COL,27,AAA,96,0.748,0.156,0.234,0.167,0.913,0.271,0.273,0.406,0.506,8,5,0,0,0.305,0.542,0.153,18,2022-06-01
17932-AAA-WSN,Andrew Stevenson,WSN,28,AAA,63,0.389,0.206,0.161,0.063,0.913,0.442,0.339,0.413,0.5,9,0,2,1,0.349,0.326,0.302,18,2022-06-01
