idlevelorg,Name,Org,Age,Level,PA,xSpect,K%,ISO,BB%,OPS,BABIP,AVG,OBP,SLG,XBH,HR,SB,CS,eFB%,eGB%,eLD%,Days,Date
sa3010595-AA-NYY,Oliver Dunn,NYY,24,AA,18,1.059,0.278,0.588,0.056,1.673,0.7,0.529,0.556,1.118,5,2,2,0,0.3,0.4,0.2,18,2022-06-01
sa1170003-AA-TBR,Brett Wisely,TBR,23,AA,10,3.571,0.1,0.714,0.2,1.643,0.375,0.429,0.5,1.143,3,0,0,1,0.75,0.125,0.125,18,2022-06-01
sa3010689-AA-DET,Kerry Carpenter,DET,24,AA,65,1.207,0.262,0.632,0.046,1.497,0.406,0.404,0.462,1.035,16,10,0,0,0.531,0.094,0.344,18,2022-06-01
sa3007976-AA-CHC,Levi Jordan,CHC,26,AA,50,2.179,0.1,0.436,0.16,1.432,0.433,0.436,0.56,0.872,9,4,1,1,0.367,0.367,0.267,18,2022-06-01
22871-AA-PIT,Tucupita Marcano,PIT,22,AA,38,1.188,0.132,0.312,0.132,1.365,0.577,0.5,0.553,0.812,7,1,0,0,0.385,0.308,0.269,18,2022-06-01
sa3010586-AA-MIN,Spencer Steer,MIN,24,AA,23,5.75,0.043,0.5,0.043,1.344,0.333,0.409,0.435,0.909,5,3,0,0,0.389,0.333,0.389,18,2022-06-01
sa1115778-AA-ARI,Dominic Fletcher,ARI,24,AA,17,0.759,0.235,0.357,0.176,1.315,0.556,0.429,0.529,0.786,3,1,0,0,0.111,0.222,0.444,18,2022-06-01
sa3007519-AA-PHI,Logan O'Hoppe,PHI,22,AA,65,3.281,0.062,0.404,0.154,1.296,0.333,0.385,0.508,0.788,9,6,1,0,0.524,0.357,0.119,18,2022-06-01
sa3007028-AA-MIN,Chris Williams,MIN,25,AA,45,0.682,0.244,0.333,0.2,1.283,0.545,0.417,0.533,0.75,6,3,0,1,0.455,0.273,0.273,18,2022-06-01
sa738999-AA-CIN,Robbie Tenerowicz,CIN,27,AA,59,1.062,0.203,0.432,0.169,1.281,0.37,0.341,0.508,0.773,9,5,0,0,0.556,0.407,0.037,18,2022-06-01
sa917288-AA-HOU,Enmanuel Valdez,HOU,23,AA,75,0.769,0.227,0.348,0.107,1.253,0.5,0.424,0.48,0.773,13,5,3,0,0.37,0.283,0.348,18,2022-06-01
sa3005271-AA-TEX,Ezequiel Duran,TEX,23,AA,52,2.196,0.096,0.422,0.115,1.242,0.342,0.378,0.442,0.8,11,4,2,0,0.395,0.395,0.237,18,2022-06-01
sa3007872-AA-LAD,Hunter Feduccia,LAD,25,AA,33,0.943,0.212,0.4,0.061,1.224,0.409,0.4,0.424,0.8,6,3,0,0,0.364,0.318,0.318,18,2022-06-01
sa872466-AA-PHI,Kevin Vicuna,PHI,24,AA,21,0.875,0.19,0.333,0.048,1.198,0.5,0.389,0.476,0.722,4,0,1,0,0.286,0.429,0.286,18,2022-06-01
sa918686-AA-SFG,Brandon Martorano,SFG,24,AA,57,0.758,0.246,0.373,0.07,1.184,0.455,0.373,0.439,0.745,9,4,0,0,0.485,0.333,0.182,18,2022-06-01
sa3004505-AA-TBR,Erik Ostberg,TBR,26,AA,19,0.891,0.316,0.562,0.158,1.181,0.143,0.25,0.368,0.812,3,3,0,0,0.857,0.0,0.143,18,2022-06-01
sa3010710-AA-PIT,Andres Alvarez,PIT,25,AA,44,1.117,0.205,0.457,0.136,1.181,0.24,0.314,0.409,0.771,6,5,3,0,0.52,0.36,0.04,18,2022-06-01
sa3010897-AA-BAL,Shayne Fontana,BAL,25,AA,27,0.711,0.222,0.316,0.296,1.15,0.364,0.316,0.519,0.632,2,2,0,0,0.182,0.727,0.0,18,2022-06-01
sa3017293-AA-OAK,Brett Harris,OAK,24,AA,17,2.833,0.059,0.333,0.059,1.145,0.385,0.4,0.412,0.733,3,1,0,0,0.385,0.385,0.308,18,2022-06-01
