idlevelorg,Name,Org,Age,Level,PA,xSpect,K%,ISO,BB%,OPS,BABIP,AVG,OBP,SLG,XBH,HR,SB,CS,eFB%,eGB%,eLD%,Days,Date
sa3017426-A-OAK,Denzel Clarke,OAK,22,A,12,1.714,0.167,0.571,0.25,1.893,0.75,0.571,0.75,1.143,2,1,0,0,0.75,0.25,0.25,18,2022-06-01
sa3017282-A-SFG,Vaun Brown,SFG,24,A,61,0.7,0.262,0.367,0.148,1.411,0.667,0.469,0.574,0.837,10,3,8,0,0.367,0.333,0.3,18,2022-06-01
sa3010032-A-CLE,Will Bartlett,CLE,21,A,14,2.1,0.071,0.3,0.214,1.371,0.455,0.5,0.571,0.8,3,0,0,0,0.455,0.182,0.364,18,2022-06-01
sa3010336-A-COL,Trevor Boone,COL,24,A,30,1.09,0.3,0.654,0.133,1.362,0.25,0.308,0.4,0.962,7,5,1,0,0.75,0.167,0.167,18,2022-06-01
sa3017662-A-ARI,Jordan Lawlar,ARI,19,A,31,0.554,0.323,0.357,0.097,1.338,0.706,0.464,0.516,0.821,5,1,3,1,0.059,0.529,0.412,18,2022-06-01
sa3009845-A-HOU,Kenedy Corona,HOU,22,A,61,1.22,0.164,0.4,0.098,1.224,0.385,0.382,0.443,0.782,10,6,2,1,0.462,0.436,0.128,18,2022-06-01
sa3006889-A-LAA,D'Shawn Knowles,LAA,21,A,36,0.8,0.167,0.267,0.083,1.172,0.48,0.433,0.472,0.7,6,1,2,0,0.28,0.52,0.2,18,2022-06-01
sa917196-A-MIL,Jose Sibrian,MIL,23,A,18,1.2,0.111,0.267,0.111,1.167,0.462,0.4,0.5,0.667,4,0,0,0,0.308,0.308,0.385,18,2022-06-01
19956-A-PHI,Mickey Moniak,PHI,24,A,13,0.65,0.231,0.3,0.0,1.162,0.444,0.4,0.462,0.7,2,0,0,0,0.444,0.222,0.222,18,2022-06-01
sa3008006-A-MIL,Arbert Cipion,MIL,22,A,50,0.61,0.14,0.171,0.16,1.15,0.5,0.439,0.54,0.61,3,2,3,4,0.25,0.531,0.188,18,2022-06-01
sa3016830-A-SDP,Cole Cummings,SDP,24,A,45,0.882,0.2,0.353,0.156,1.143,0.333,0.324,0.467,0.676,5,3,2,0,0.542,0.167,0.292,18,2022-06-01
sa3017477-A-PHI,Anthony Quirion,PHI,24,A,47,0.788,0.277,0.436,0.106,1.122,0.286,0.282,0.404,0.718,7,5,0,0,0.381,0.381,0.238,18,2022-06-01
sa3017215-A-HOU,Quincy Hamilton,HOU,24,A,38,1.14,0.132,0.3,0.158,1.107,0.348,0.333,0.474,0.633,5,2,2,0,0.261,0.565,0.174,18,2022-06-01
sa3005584-A-MIL,Alberis Ferrer,MIL,21,A,21,0.667,0.333,0.444,0.095,1.103,0.333,0.278,0.381,0.722,3,2,0,0,0.556,0.222,0.111,18,2022-06-01
sa3014693-A-MIN,Emmanuel Rodriguez,MIN,19,A,61,0.449,0.279,0.25,0.328,1.091,0.476,0.3,0.541,0.55,5,2,4,1,0.238,0.286,0.429,18,2022-06-01
sa3002851-A-SEA,Robert Perez,SEA,22,A,66,0.675,0.288,0.389,0.121,1.076,0.31,0.278,0.409,0.667,9,6,2,0,0.448,0.379,0.172,18,2022-06-01
sa3006676-A-CHW,Samil Polanco,CHW,22,A,20,1.667,0.1,0.333,0.1,1.067,0.286,0.333,0.4,0.667,2,2,0,0,0.357,0.429,0.214,18,2022-06-01
sa3008742-A-LAD,Diego Cartaya,LAD,20,A,50,0.764,0.2,0.306,0.24,1.063,0.333,0.278,0.48,0.583,6,2,0,0,0.375,0.458,0.167,18,2022-06-01
sa3014696-A-NYY,Jasson Dominguez,NYY,19,A,59,0.392,0.305,0.239,0.169,1.062,0.5,0.348,0.475,0.587,6,2,3,1,0.286,0.536,0.143,18,2022-06-01
sa3017374-A-MIA,Joe Mack,MIA,19,A,16,0.821,0.188,0.308,0.188,1.053,0.333,0.308,0.438,0.615,2,1,0,0,0.444,0.222,0.444,18,2022-06-01
sa3008865-A-TOR,Gabriel Martinez,TOR,19,A,61,1.665,0.098,0.328,0.049,1.049,0.319,0.345,0.377,0.672,9,5,0,0,0.468,0.383,0.17,18,2022-06-01
sa3016820-A-SDP,Lucas Dunn,SDP,23,A,56,0.596,0.268,0.319,0.107,1.049,0.406,0.319,0.411,0.638,9,2,5,3,0.438,0.312,0.25,18,2022-06-01
sa3017114-A-BOS,Marcelo Mayer,BOS,19,A,20,0.588,0.25,0.294,0.1,1.047,0.429,0.353,0.4,0.647,5,0,0,0,0.214,0.286,0.429,18,2022-06-01
sa3008767-A-SFG,Victor Bericoto,SFG,20,A,54,0.506,0.185,0.188,0.111,1.046,0.486,0.396,0.463,0.583,7,1,0,0,0.243,0.459,0.297,18,2022-06-01
sa3009542-A-BAL,Isaac Bellony,BAL,20,A,59,0.432,0.356,0.308,0.119,1.041,0.5,0.327,0.407,0.635,9,3,0,0,0.214,0.5,0.25,18,2022-06-01
sa3016954-A-ARI,Shane Muntz,ARI,23,A,23,0.719,0.13,0.188,0.217,1.041,0.312,0.375,0.478,0.562,1,1,0,0,0.25,0.375,0.25,18,2022-06-01
sa3017398-A-BOS,Nathan Hickey,BOS,22,A,47,0.516,0.277,0.286,0.255,1.04,0.4,0.286,0.468,0.571,6,2,0,0,0.2,0.4,0.35,18,2022-06-01
sa3016818-A-SDP,Marcos Castanon,SDP,23,A,37,0.661,0.162,0.214,0.189,1.022,0.35,0.321,0.486,0.536,2,2,0,0,0.3,0.55,0.25,18,2022-06-01
sa3017326-A-TOR,Damiano Palmegiani,TOR,22,A,54,0.877,0.241,0.422,0.093,1.019,0.207,0.244,0.352,0.667,9,5,0,0,0.517,0.241,0.241,18,2022-06-01
sa3015622-A-TBR,Edwin Barragan,TBR,18,A,14,1.75,0.071,0.25,0.071,1.012,0.3,0.333,0.429,0.583,1,1,1,0,0.2,0.7,0.1,18,2022-06-01
sa3011560-A-SDP,Jared Alvarez-Lopez,SDP,21,A,37,0.373,0.216,0.161,0.135,1.008,0.522,0.387,0.459,0.548,4,0,1,0,0.217,0.565,0.217,18,2022-06-01
sa3015127-A-TEX,Alejandro Osuna,TEX,19,A,58,0.599,0.155,0.186,0.224,0.994,0.375,0.326,0.483,0.512,4,2,7,1,0.344,0.25,0.375,18,2022-06-01
sa3014692-A-MIL,Hedbert Perez,MIL,19,A,49,0.693,0.224,0.311,0.082,0.99,0.375,0.311,0.367,0.622,9,2,2,2,0.375,0.312,0.281,18,2022-06-01
sa3014717-A-WSN,Sammy Infante,WSN,21,A,52,0.551,0.327,0.36,0.038,0.987,0.357,0.3,0.327,0.66,8,5,1,1,0.464,0.321,0.214,18,2022-06-01
sa3015187-A-NYM,Junior Tilien,NYM,19,A,38,0.739,0.263,0.389,0.053,0.982,0.273,0.278,0.316,0.667,6,4,0,0,0.364,0.409,0.182,18,2022-06-01
sa3009808-A-COL,Juan Brito,COL,20,A,63,0.602,0.19,0.229,0.206,0.981,0.333,0.292,0.46,0.521,5,3,2,1,0.455,0.303,0.242,18,2022-06-01
sa3005767-A-CHC,Miguel Fabrizio,CHC,21,A,12,1.636,0.167,0.545,0.083,0.977,0.0,0.182,0.25,0.727,2,2,0,0,0.286,0.571,0.143,18,2022-06-01
sa3017170-A-CHW,Colson Montgomery,CHW,20,A,62,0.437,0.242,0.212,0.145,0.974,0.429,0.327,0.435,0.538,6,2,0,0,0.343,0.4,0.257,18,2022-06-01
sa3016969-A-DET,Izaac Pacheco,DET,19,A,64,0.688,0.172,0.236,0.125,0.97,0.349,0.327,0.406,0.564,6,3,3,0,0.302,0.488,0.209,18,2022-06-01
sa3008938-A-NYM,Omar De Los Santos,NYM,22,A,54,0.492,0.352,0.346,0.019,0.969,0.387,0.308,0.315,0.654,9,4,8,1,0.452,0.355,0.194,18,2022-06-01
sa3008752-A-CHC,Kevin Alcantara,CHC,19,A,57,0.532,0.263,0.28,0.07,0.968,0.361,0.32,0.368,0.6,7,3,1,1,0.389,0.472,0.167,18,2022-06-01
sa3017624-A-MIN,Noah Cardenas,MIN,22,A,47,0.508,0.191,0.194,0.234,0.968,0.385,0.306,0.468,0.5,5,1,2,1,0.346,0.385,0.269,18,2022-06-01
sa3014707-A-SFG,Aeverson Arteaga,SFG,19,A,65,0.503,0.215,0.217,0.077,0.967,0.432,0.35,0.4,0.567,7,2,1,0,0.477,0.273,0.25,18,2022-06-01
sa3017295-A-CHC,James Triantos,CHC,19,A,65,0.56,0.123,0.138,0.092,0.963,0.429,0.379,0.446,0.517,4,1,4,0,0.367,0.429,0.224,18,2022-06-01
sa3017661-A-HOU,Logan Cerny,HOU,22,A,48,0.615,0.25,0.308,0.146,0.96,0.32,0.256,0.396,0.564,6,2,3,1,0.56,0.16,0.24,18,2022-06-01
sa3017050-A-HOU,Joey Loperfido,HOU,23,A,62,0.646,0.177,0.229,0.194,0.956,0.324,0.292,0.435,0.521,7,2,2,3,0.378,0.432,0.216,18,2022-06-01
sa3008759-A-COL,Juan Guerrero,COL,20,A,45,1.125,0.133,0.3,0.089,0.956,0.29,0.3,0.356,0.6,6,3,2,1,0.355,0.452,0.226,18,2022-06-01
sa3016968-A-NYY,Kyle Battle,NYY,24,A,26,0.848,0.154,0.261,0.077,0.95,0.333,0.304,0.385,0.565,4,1,2,0,0.5,0.333,0.222,18,2022-06-01
sa3017791-A-TBR,Mason Auer,TBR,21,A,53,0.886,0.132,0.234,0.113,0.949,0.342,0.319,0.396,0.553,5,2,6,1,0.368,0.447,0.184,18,2022-06-01
sa3017109-A-BOS,Tyler Miller,BOS,22,A,57,0.887,0.158,0.28,0.088,0.948,0.282,0.3,0.368,0.58,5,4,1,0,0.462,0.308,0.256,18,2022-06-01
sa3017795-A-TBR,Carson Williams,TBR,19,A,63,0.357,0.317,0.226,0.143,0.941,0.452,0.302,0.413,0.528,6,2,4,2,0.355,0.29,0.419,18,2022-06-01
sa3003267-A-DET,Esney Chacon,DET,22,A,27,0.136,0.333,0.091,0.185,0.936,0.615,0.364,0.481,0.455,1,0,2,1,0.154,0.308,0.462,18,2022-06-01
sa3015376-A-PIT,Tsung-Che Cheng,PIT,20,A,29,0.46,0.241,0.222,0.069,0.935,0.45,0.333,0.379,0.556,4,0,2,0,0.15,0.5,0.35,18,2022-06-01
sa3017113-A-BOS,Phillip Sikes,BOS,23,A,55,0.573,0.309,0.354,0.073,0.931,0.3,0.25,0.327,0.604,10,3,1,0,0.433,0.267,0.267,18,2022-06-01
sa3010398-A-SDP,Tyler Malone,SDP,24,A,36,1.125,0.111,0.25,0.306,0.931,0.211,0.208,0.472,0.458,4,1,0,0,0.421,0.579,0.053,18,2022-06-01
sa3015190-A-SFG,Adrian Sugastey,SFG,19,A,54,0.563,0.167,0.188,0.093,0.928,0.378,0.333,0.407,0.521,5,2,0,0,0.378,0.351,0.27,18,2022-06-01
sa3017626-A-SEA,Edwin Arroyo,SEA,18,A,67,0.42,0.269,0.226,0.06,0.922,0.4,0.323,0.373,0.548,6,4,2,0,0.425,0.375,0.175,18,2022-06-01
sa3016927-A-STL,Osvaldo Tovalin,STL,22,A,62,0.62,0.161,0.2,0.032,0.921,0.396,0.35,0.371,0.55,7,2,0,0,0.229,0.5,0.25,18,2022-06-01
sa3005570-A-LAD,Yunior Garcia,LAD,20,A,35,0.753,0.171,0.258,0.114,0.92,0.304,0.29,0.371,0.548,4,2,0,0,0.261,0.478,0.261,18,2022-06-01
sa918278-A-STL,Brady Whalen,STL,24,A,60,0.524,0.183,0.192,0.1,0.919,0.366,0.327,0.4,0.519,6,2,2,0,0.415,0.317,0.244,18,2022-06-01
sa3008875-A-TEX,Junior Paniagua,TEX,20,A,35,0.257,0.314,0.161,0.057,0.916,0.55,0.355,0.4,0.516,5,0,0,0,0.55,0.1,0.3,18,2022-06-01
sa3011754-A-TBR,Shane Sasaki,TBR,21,A,63,0.454,0.143,0.13,0.127,0.91,0.404,0.352,0.429,0.481,6,0,4,2,0.383,0.319,0.298,18,2022-06-01
sa3017179-A-LAD,Damon Keith,LAD,22,A,57,0.265,0.281,0.149,0.158,0.907,0.467,0.319,0.439,0.468,4,1,0,1,0.3,0.433,0.333,18,2022-06-01
sa3005754-A-HOU,Victor Mascai,HOU,21,A,36,0.397,0.306,0.242,0.083,0.907,0.429,0.303,0.361,0.545,6,1,1,0,0.429,0.333,0.238,18,2022-06-01
sa3006428-A-ARI,Ramses Malave,ARI,21,A,38,0.368,0.263,0.194,0.132,0.905,0.368,0.29,0.421,0.484,2,2,2,0,0.368,0.474,0.211,18,2022-06-01
sa3010636-A-SFG,Garrett Frechette,SFG,21,A,48,0.449,0.292,0.262,0.104,0.902,0.379,0.286,0.354,0.548,6,1,0,0,0.414,0.517,0.103,18,2022-06-01
sa3016861-A-MIA,Zach Zubia,MIA,24,A,55,0.43,0.291,0.25,0.2,0.9,0.32,0.25,0.4,0.5,5,3,0,0,0.4,0.32,0.32,18,2022-06-01
sa3014458-A-CHC,Pete Crow-Armstrong,CHC,20,A,63,0.563,0.19,0.214,0.111,0.899,0.341,0.304,0.381,0.518,5,3,5,1,0.366,0.415,0.22,18,2022-06-01
sa3014544-A-CLE,Milan Tolentino,CLE,20,A,55,0.417,0.218,0.182,0.164,0.895,0.364,0.295,0.418,0.477,6,1,4,0,0.152,0.364,0.485,18,2022-06-01
sa3017173-A-COL,Hunter Goodman,COL,22,A,62,0.564,0.323,0.364,0.048,0.89,0.212,0.236,0.29,0.6,8,6,0,0,0.485,0.394,0.121,18,2022-06-01
sa3017332-A-COL,Braiden Ward,COL,23,A,54,0.126,0.204,0.051,0.13,0.885,0.433,0.333,0.5,0.385,2,0,9,0,0.367,0.467,0.167,18,2022-06-01
sa3016950-A-SEA,Ben Ramirez,SEA,23,A,60,0.529,0.2,0.212,0.117,0.883,0.324,0.288,0.383,0.5,5,3,0,0,0.297,0.514,0.216,18,2022-06-01
sa3009191-A-NYM,Carlos Dominguez,NYM,22,A,50,0.26,0.48,0.25,0.04,0.883,0.529,0.273,0.36,0.523,5,3,2,1,0.412,0.353,0.235,18,2022-06-01
sa3015170-A-ARI,Junior Franco,ARI,19,A,57,0.297,0.246,0.146,0.14,0.879,0.406,0.312,0.421,0.458,3,2,5,1,0.281,0.406,0.281,18,2022-06-01
sa3017562-A-BAL,Creed Willems,BAL,19,A,41,0.554,0.195,0.216,0.024,0.879,0.357,0.297,0.366,0.514,4,1,0,0,0.5,0.321,0.179,18,2022-06-01
sa3014679-A-CHC,Kevin Made,CHC,19,A,58,0.357,0.224,0.16,0.086,0.877,0.395,0.32,0.397,0.48,6,1,0,0,0.316,0.316,0.342,18,2022-06-01
