idlevelorg,Name,Org,Age,Level,PA,wRC+,K%,ISO,SwStr%,BB%,OPS,BABIP,AVG,OBP,SLG,HR/FB,HR,2B,3B,SB,CS,FB%,GB%,LD%,Date
12037-A-MIA,Jon Berti,MIA,32,A,6,36,0.167,0.167,0.05,0.0,0.5,0.2,0.167,0.167,0.333,0.0,0,1,0,0,0,0.4,0.2,0.4,2022-06-01
13066-A-TOR,Teoscar Hernandez,TOR,29,A,13,321,0.231,0.727,0.143,0.077,1.643,0.429,0.455,0.462,1.182,0.5,2,2,0,1,0,0.5,0.0,0.5,2022-06-01
13853-A-MIA,Joey Wendle,MIA,32,A,8,209,0.125,0.143,0.077,0.125,1.071,0.5,0.429,0.5,0.571,0.0,0,1,0,0,0,0.167,0.5,0.333,2022-06-01
14329-A-PIT,Anthony Alford,PIT,27,A,7,300,0.0,0.571,0.0,0.0,1.429,0.333,0.429,0.429,1.0,0.333,1,1,0,0,0,0.5,0.333,0.167,2022-06-01
16535-A-TOR,Danny Jansen,TOR,27,A,11,148,0.0,0.2,0.086,0.0,0.864,0.3,0.3,0.364,0.5,0.0,0,2,0,0,0,0.7,0.0,0.3,2022-06-01
16542-A-BAL,Shed Long Jr.,BAL,26,A,1,374,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,2022-06-01
17922-A-MIA,Isan Diaz,MIA,26,A,7,-28,0.286,0.0,0.08,0.143,0.167,0.0,0.0,0.167,0.0,0.0,0,0,0,0,0,0.667,0.333,0.0,2022-06-01
18289-A-MIA,Brian Anderson,MIA,29,A,4,128,0.25,0.0,0.125,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0,0,0,0,0,0.0,1.0,0.0,2022-06-01
19952-A-NYM,Khalil Lee,NYM,24,A,35,131,0.314,0.172,0.189,0.086,0.785,0.389,0.241,0.371,0.414,0.0,0,3,1,1,3,0.533,0.4,0.067,2022-06-01
19956-A-PHI,Mickey Moniak,PHI,24,A,13,210,0.231,0.3,0.109,0.0,1.162,0.5,0.4,0.462,0.7,0.0,0,1,1,0,0,0.5,0.25,0.25,2022-06-01
20287-A-NYY,Ben Rortvedt,NYY,24,A,5,386,0.2,0.75,0.1,0.2,1.85,0.5,0.5,0.6,1.25,1.0,1,0,0,0,0,0.0,0.333,0.667,2022-06-01
20540-A-MIA,Jose Devers,MIA,22,A,6,-6,0.5,0.0,0.129,0.0,0.333,0.333,0.167,0.167,0.167,0.0,0,0,0,0,0,0.333,0.667,0.0,2022-06-01
sa1159694-A-PIT,Jakob Goldfarb,PIT,26,A,73,120,0.288,0.055,0.132,0.164,0.684,0.333,0.218,0.411,0.273,0.067,1,0,0,0,0,0.469,0.312,0.219,2022-06-01
sa1169610-A-CIN,Tyler Callihan,CIN,22,A,39,118,0.154,0.156,0.09,0.179,0.734,0.24,0.219,0.359,0.375,0.091,1,2,0,2,0,0.458,0.292,0.25,2022-06-01
sa1169620-A-TEX,Marcus Smith,TEX,21,A,144,75,0.465,0.14,0.137,0.188,0.573,0.25,0.132,0.301,0.272,0.211,4,2,1,14,0,0.396,0.542,0.062,2022-06-01
sa1169878-A-ATL,Brandon Parker,ATL,23,A,93,127,0.258,0.139,0.119,0.183,0.773,0.333,0.236,0.398,0.375,0.1,1,3,2,1,0,0.213,0.511,0.277,2022-06-01
sa3002635-A-WSN,Geraldi Diaz,WSN,21,A,81,138,0.136,0.177,0.105,0.185,0.827,0.275,0.242,0.407,0.419,0.038,1,6,1,2,0,0.51,0.353,0.137,2022-06-01
sa3002855-A-NYM,Albert Suarez,NYM,22,A,33,-41,0.182,0.0,0.113,0.061,0.188,0.08,0.067,0.121,0.067,0.0,0,0,0,0,0,0.375,0.583,0.042,2022-06-01
sa3002865-A-SDP,Gilberto Vizcarra,SDP,23,A,18,-31,0.111,0.0,0.057,0.111,0.167,0.0,0.0,0.167,0.0,0.0,0,0,0,0,1,0.769,0.231,0.0,2022-06-01
sa3003213-A-KCR,Felix Familia,KCR,23,A,41,32,0.293,0.029,0.199,0.073,0.437,0.261,0.171,0.237,0.2,0.0,0,1,0,1,0,0.348,0.478,0.174,2022-06-01
sa3003238-A-TEX,Yenci Pena,TEX,21,A,85,113,0.235,0.13,0.169,0.153,0.727,0.292,0.232,0.365,0.362,0.1,2,3,0,3,0,0.408,0.367,0.224,2022-06-01
sa3003257-A-DET,Frank Veliz,DET,22,A,27,-4,0.444,0.0,0.194,0.037,0.305,0.231,0.12,0.185,0.12,0.0,0,0,0,0,0,0.308,0.692,0.0,2022-06-01
sa3003262-A-DET,Eliezer Alfonzo,DET,22,A,15,-66,0.133,0.0,0.062,0.0,0.133,0.077,0.067,0.067,0.067,0.0,0,0,0,0,0,0.333,0.583,0.083,2022-06-01
sa3003282-A-TBR,Abiezel Ramirez,TBR,22,A,61,136,0.213,0.22,0.112,0.18,0.837,0.286,0.24,0.377,0.46,0.154,2,3,1,6,1,0.371,0.486,0.143,2022-06-01
sa3003350-A-LAD,Kenneth Betancourt,LAD,22,A,110,76,0.182,0.15,0.089,0.073,0.671,0.256,0.23,0.291,0.38,0.125,3,6,0,1,0,0.304,0.494,0.203,2022-06-01
sa3003360-A-MIA,Jorge Caballero,MIA,22,A,91,118,0.275,0.145,0.117,0.132,0.737,0.327,0.237,0.356,0.382,0.25,2,1,2,0,1,0.157,0.471,0.373,2022-06-01
sa3003413-A-TBR,Freddvil Chevez,TBR,22,A,117,25,0.248,0.065,0.15,0.06,0.436,0.203,0.157,0.214,0.222,0.036,1,2,1,0,0,0.373,0.507,0.12,2022-06-01
sa3004046-A-LAA,Jeremy Arocho,LAA,23,A,32,134,0.219,0.043,0.083,0.25,0.773,0.375,0.261,0.469,0.304,0.0,0,1,0,2,0,0.25,0.688,0.062,2022-06-01
sa3004880-A-OAK,Kevin Richards,OAK,22,A,128,126,0.234,0.222,0.181,0.062,0.881,0.361,0.308,0.352,0.53,0.146,6,6,1,2,2,0.471,0.402,0.126,2022-06-01
sa3004882-A-COL,Bryant Quijada,COL,22,A,36,105,0.139,0.103,0.071,0.111,0.751,0.32,0.276,0.371,0.379,0.0,0,3,0,0,0,0.208,0.542,0.25,2022-06-01
sa3005080-A-NYY,Luis Santos,NYY,22,A,73,93,0.164,0.111,0.054,0.123,0.653,0.275,0.222,0.319,0.333,0.0,0,5,1,1,1,0.265,0.469,0.265,2022-06-01
sa3005151-A-LAA,Kevin Watson Jr,LAA,23,A,79,72,0.342,0.091,0.145,0.139,0.617,0.316,0.197,0.329,0.288,0.067,1,1,1,1,1,0.385,0.462,0.154,2022-06-01
sa3005239-A-CIN,Danny Lantigua,CIN,23,A,54,5,0.426,0.078,0.226,0.056,0.363,0.185,0.118,0.167,0.196,0.25,1,1,0,1,0,0.154,0.577,0.269,2022-06-01
sa3005240-A-SEA,Walking Cabrera,SEA,21,A,147,80,0.231,0.078,0.14,0.095,0.66,0.33,0.256,0.327,0.333,0.025,1,7,0,4,1,0.417,0.365,0.219,2022-06-01
sa3005481-A-CLE,Wilfri Peralta,CLE,21,A,69,65,0.319,0.108,0.138,0.058,0.584,0.326,0.215,0.261,0.323,0.0,0,3,2,0,1,0.302,0.395,0.302,2022-06-01
sa3005484-A-NYY,Roberto Chirinos,NYY,21,A,87,66,0.333,0.061,0.169,0.046,0.569,0.358,0.232,0.276,0.293,0.0,0,3,1,2,0,0.264,0.547,0.189,2022-06-01
sa3005522-A-TEX,Derwin Barreto,TEX,21,A,46,137,0.217,0.205,0.099,0.109,0.857,0.321,0.282,0.37,0.487,0.154,2,2,0,1,1,0.5,0.308,0.192,2022-06-01
sa3005527-A-HOU,Rainier Rivas,HOU,21,A,7,-35,0.286,0.0,0.179,0.143,0.143,0.0,0.0,0.143,0.0,0.0,0,0,0,0,0,0.25,0.75,0.0,2022-06-01
