idlevelorg,Name,Org,Age,Level,PA,wRC+,K%,ISO,SwStr%,BB%,OPS,BABIP,AVG,OBP,SLG,HR/FB,HR,2B,3B,SB,CS,FB%,GB%,LD%,Date
sa872552-AA-MIL,Jason Lopez,MIL,24,AA,3,-100,0.333,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1.0,0.0,0.0,2022-06-01
sa3006846-AA-SEA,David Sheaffer,SEA,27,AA,5,-2,0.2,0.0,0.1,0.0,0.4,0.25,0.2,0.2,0.2,0.0,0,0,0,0,0,0.5,0.5,0.0,2022-06-01
14773-AA-CLE,Yu Chang,CLE,26,AA,5,6,0.4,0.0,0.136,0.0,0.4,0.333,0.2,0.2,0.2,0.0,0,0,0,0,0,0.667,0.333,0.0,2022-06-01
15766-AA-CHW,Raudy Read,CHW,28,AA,117,130,0.231,0.198,0.132,0.154,0.872,0.333,0.281,0.393,0.479,0.227,5,4,0,0,0,0.324,0.515,0.162,2022-06-01
16404-AA-SDP,Domingo Leyba,SDP,26,AA,115,74,0.157,0.053,0.056,0.148,0.643,0.278,0.242,0.348,0.295,0.036,1,2,0,0,0,0.359,0.372,0.269,2022-06-01
16446-AA-NYM,Johneshwy Fargas,NYM,27,AA,87,90,0.218,0.149,0.115,0.092,0.679,0.245,0.216,0.314,0.365,0.107,3,2,0,11,0,0.509,0.327,0.164,2022-06-01
19553-AA-PHI,Simon Muzziotti,PHI,23,AA,27,105,0.259,0.167,0.095,0.111,0.75,0.353,0.25,0.333,0.417,0.0,0,0,2,0,0,0.412,0.529,0.059,2022-06-01
19938-AA-LAA,Aaron Whitefield,LAA,25,AA,150,134,0.24,0.194,0.128,0.147,0.887,0.369,0.29,0.403,0.484,0.147,5,5,2,17,2,0.4,0.365,0.235,2022-06-01
20040-AA-SDP,Jorge Ona,SDP,25,AA,134,59,0.321,0.147,0.155,0.09,0.613,0.246,0.181,0.286,0.328,0.133,4,5,0,0,0,0.417,0.375,0.208,2022-06-01
22871-AA-PIT,Tucupita Marcano,PIT,22,AA,113,147,0.212,0.183,0.089,0.15,0.905,0.391,0.312,0.411,0.495,0.074,2,7,2,2,2,0.386,0.386,0.229,2022-06-01
23359-AA-CHC,Nelson Velazquez,CHC,23,AA,94,172,0.351,0.412,0.174,0.149,1.094,0.368,0.288,0.394,0.7,0.346,9,4,1,5,2,0.553,0.191,0.255,2022-06-01
25931-AA-ATL,Michael Harris II,ATL,21,AA,196,128,0.199,0.201,0.116,0.087,0.878,0.364,0.305,0.372,0.506,0.1,5,16,2,11,3,0.37,0.459,0.17,2022-06-01
26288-AA-BAL,Adley Rutschman,BAL,24,AA,14,201,0.071,0.167,0.058,0.143,1.083,0.455,0.417,0.5,0.583,0.0,0,2,0,0,0,0.182,0.364,0.455,2022-06-01
sa1115496-AA-TOR,Spencer Horwitz,TOR,24,AA,163,108,0.227,0.159,0.111,0.129,0.748,0.296,0.239,0.35,0.399,0.125,4,8,1,3,0,0.323,0.505,0.172,2022-06-01
sa1115778-AA-ARI,Dominic Fletcher,ARI,24,AA,142,150,0.176,0.244,0.094,0.092,0.999,0.385,0.346,0.408,0.591,0.226,7,6,2,4,2,0.304,0.363,0.333,2022-06-01
sa1115804-AA-OAK,Shane Selman,OAK,25,AA,120,74,0.342,0.213,0.152,0.083,0.709,0.274,0.213,0.283,0.426,0.2,6,5,0,0,0,0.455,0.303,0.242,2022-06-01
sa1115910-AA-KCR,Michael Massey,KCR,24,AA,202,130,0.193,0.213,0.104,0.084,0.937,0.38,0.337,0.386,0.551,0.123,8,14,0,7,1,0.464,0.321,0.214,2022-06-01
sa1115979-AA-MIL,Nick Kahle,MIL,24,AA,15,76,0.333,0.077,0.179,0.133,0.641,0.375,0.231,0.333,0.308,0.0,0,1,0,0,0,0.375,0.5,0.125,2022-06-01
sa1159677-AA-OAK,Kyle McCann,OAK,24,AA,133,121,0.248,0.187,0.149,0.165,0.847,0.338,0.262,0.398,0.449,0.182,4,8,0,0,0,0.297,0.5,0.203,2022-06-01
sa1159899-AA-CIN,Quincy McAfee,CIN,24,AA,156,96,0.244,0.155,0.103,0.109,0.726,0.281,0.225,0.346,0.38,0.098,4,6,1,0,2,0.451,0.341,0.209,2022-06-01
sa1169627-AA-CIN,Ivan Johnson,CIN,23,AA,25,124,0.2,0.227,0.172,0.12,0.86,0.312,0.273,0.36,0.5,0.2,1,2,0,0,1,0.333,0.467,0.2,2022-06-01
sa1169773-AA-TOR,LJ Talley,TOR,25,AA,56,91,0.214,0.146,0.1,0.125,0.676,0.235,0.208,0.321,0.354,0.111,2,1,0,0,0,0.5,0.333,0.167,2022-06-01
sa1169792-AA-LAD,Ryan Ward,LAD,24,AA,171,104,0.193,0.268,0.136,0.058,0.84,0.25,0.261,0.312,0.529,0.26,13,3,0,0,0,0.41,0.41,0.18,2022-06-01
sa1169809-AA-SFG,Simon Whiteman,SFG,25,AA,82,54,0.293,0.042,0.103,0.098,0.518,0.277,0.183,0.293,0.225,0.0,0,3,0,5,1,0.326,0.478,0.196,2022-06-01
sa1169950-AA-PIT,Aaron Shackelford,PIT,25,AA,119,110,0.294,0.241,0.165,0.084,0.784,0.284,0.241,0.303,0.481,0.206,7,5,0,2,1,0.459,0.405,0.135,2022-06-01
sa1170288-AA-SEA,Cade Marlowe,SEA,25,AA,172,80,0.25,0.115,0.129,0.128,0.682,0.304,0.23,0.337,0.345,0.077,3,4,2,11,2,0.375,0.433,0.192,2022-06-01
sa1170296-AA-BAL,Toby Welk,BAL,25,AA,16,143,0.188,0.438,0.107,0.0,0.938,0.182,0.25,0.25,0.688,0.2,2,1,0,0,0,0.769,0.077,0.154,2022-06-01
sa1170316-AA-KCR,Jake Means,KCR,26,AA,132,68,0.288,0.174,0.127,0.114,0.669,0.267,0.2,0.295,0.374,0.125,3,11,0,2,0,0.32,0.453,0.227,2022-06-01
sa1170373-AA-LAA,Anthony Mulrine,LAA,24,AA,79,39,0.316,0.088,0.184,0.101,0.501,0.214,0.147,0.266,0.235,0.056,1,3,0,0,0,0.439,0.415,0.146,2022-06-01
