idlevelorg,Name,Org,Age,Level,PA,wRC+,K%,ISO,SwStr%,BB%,OPS,BABIP,AVG,OBP,SLG,HR/FB,HR,2B,3B,SB,CS,FB%,GB%,LD%,Date
sa3004065-AAA-ARI,Jancarlos Cintron,ARI,27,AAA,13,147,0.231,0.231,0.111,0.0,1.0,0.5,0.385,0.385,0.615,0.0,0,1,1,0,0,0.0,0.6,0.4,2022-06-01
sa3006846-AAA-SEA,David Sheaffer,SEA,27,AAA,4,24,0.5,0.0,0.158,0.0,0.5,0.5,0.25,0.25,0.25,0.0,0,0,0,0,0,1.0,0.0,0.0,2022-06-01
sa3010048-AAA-CIN,Ashton Creal,CIN,23,AAA,6,61,0.167,0.0,0.0,0.167,0.533,0.25,0.2,0.333,0.2,0.0,0,0,0,1,0,0.0,1.0,0.0,2022-06-01
10067-AAA-LAD,Tomas Telis,LAD,31,AAA,93,98,0.108,0.038,0.056,0.108,0.733,0.343,0.304,0.391,0.342,0.0,0,3,0,0,0,0.257,0.514,0.229,2022-06-01
10642-AAA-COL,Carlos Perez,COL,31,AAA,128,105,0.219,0.283,0.087,0.078,0.851,0.262,0.248,0.32,0.531,0.163,7,9,1,0,0,0.5,0.256,0.244,2022-06-01
10655-AAA-NYY,Rob Brantly,NYY,32,AAA,45,76,0.133,0.103,0.11,0.089,0.644,0.242,0.231,0.311,0.333,0.077,1,1,0,0,0,0.394,0.424,0.182,2022-06-01
11155-AAA-MIN,Elliot Soto,MIN,32,AAA,132,68,0.25,0.095,0.093,0.121,0.605,0.28,0.207,0.303,0.302,0.042,1,6,1,3,0,0.308,0.5,0.192,2022-06-01
11338-AAA-WSN,Adrian Sanchez,WSN,31,AAA,63,77,0.238,0.055,0.111,0.127,0.624,0.325,0.236,0.333,0.291,0.0,0,3,0,0,0,0.225,0.625,0.15,2022-06-01
11379-AAA-ATL,Delino DeShields,ATL,29,AAA,135,103,0.274,0.038,0.096,0.185,0.686,0.371,0.248,0.4,0.286,0.0,0,4,0,10,5,0.377,0.435,0.188,2022-06-01
11400-AAA-PHI,Ronald Torreyes,PHI,29,AAA,38,21,0.053,0.029,0.053,0.079,0.437,0.182,0.171,0.237,0.2,0.0,0,1,0,0,0,0.364,0.515,0.121,2022-06-01
11602-AAA-BOS,Yolmer Sanchez,BOS,30,AAA,186,143,0.22,0.195,0.103,0.183,0.89,0.34,0.282,0.414,0.477,0.143,7,6,1,2,1,0.454,0.315,0.231,2022-06-01
11746-AAA-LAD,Stefen Romero,LAD,33,AAA,72,135,0.181,0.262,0.134,0.056,0.96,0.36,0.323,0.375,0.585,0.167,3,8,0,0,0,0.346,0.481,0.173,2022-06-01
11812-AAA-WSN,Alberto Baldonado,WSN,29,AAA,0,-100,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,,,,2022-06-01
11863-AAA-ARI,Yadiel Rivera,ARI,30,AAA,78,39,0.244,0.097,0.148,0.064,0.562,0.25,0.208,0.256,0.306,0.133,2,1,0,2,0,0.278,0.5,0.222,2022-06-01
12140-AAA-CIN,Juniel Querecuto,CIN,29,AAA,63,81,0.111,0.119,0.069,0.063,0.674,0.288,0.254,0.302,0.373,0.0,0,5,1,1,2,0.294,0.49,0.216,2022-06-01
12198-AAA-ARI,Jake Hager,ARI,29,AAA,91,92,0.22,0.141,0.085,0.165,0.743,0.296,0.239,0.363,0.38,0.056,1,7,0,2,1,0.333,0.463,0.204,2022-06-01
12225-AAA-COL,Scott Schebler,COL,31,AAA,169,94,0.278,0.216,0.178,0.083,0.792,0.316,0.25,0.325,0.466,0.162,6,4,5,2,0,0.359,0.427,0.214,2022-06-01
12399-AAA-CIN,Taylor Motter,CIN,32,AAA,81,135,0.222,0.25,0.072,0.148,0.885,0.283,0.265,0.37,0.515,0.192,5,2,0,0,0,0.531,0.224,0.245,2022-06-01
12434-AAA-LAD,Kevin Pillar,LAD,33,AAA,153,152,0.111,0.307,0.083,0.131,1.034,0.298,0.315,0.412,0.622,0.17,9,6,3,2,1,0.477,0.324,0.198,2022-06-01
12547-AAA-CHC,John Hicks,CHC,32,AAA,111,60,0.306,0.208,0.246,0.027,0.631,0.235,0.198,0.225,0.406,0.185,5,5,1,2,1,0.386,0.414,0.2,2022-06-01
12575-AAA-SEA,Nick Ramirez,SEA,32,AAA,0,-100,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,,,,2022-06-01
12719-AAA-LAA,Dillon Thomas,LAA,29,AAA,188,121,0.239,0.171,0.163,0.101,0.862,0.373,0.297,0.394,0.468,0.154,6,9,0,3,4,0.339,0.47,0.191,2022-06-01
12779-AAA-LAD,Andy Burns,LAD,31,AAA,153,87,0.314,0.197,0.111,0.131,0.751,0.304,0.227,0.327,0.424,0.171,6,8,0,3,1,0.427,0.28,0.293,2022-06-01
12782-AAA-PIT,Taylor Davis,PIT,32,AAA,48,67,0.062,0.026,0.045,0.125,0.582,0.243,0.231,0.326,0.256,0.0,0,1,0,0,0,0.2,0.6,0.2,2022-06-01
13151-AAA-KCR,Jose Briceno,KCR,29,AAA,16,63,0.125,0.0,0.094,0.0,0.579,0.308,0.267,0.312,0.267,0.0,0,0,0,0,0,0.538,0.231,0.231,2022-06-01
13167-AAA-CHC,Robel Garcia,CHC,29,AAA,160,165,0.312,0.333,0.141,0.144,1.023,0.373,0.296,0.394,0.63,0.353,12,7,1,0,1,0.395,0.291,0.314,2022-06-01
13324-AAA-CHC,Ildemaro Vargas,CHC,30,AAA,112,95,0.107,0.135,0.051,0.062,0.735,0.304,0.279,0.321,0.413,0.03,1,3,4,1,0,0.355,0.419,0.226,2022-06-01
13324-AAA-WSN,Ildemaro Vargas,WSN,30,AAA,10,14,0.1,0.111,0.074,0.1,0.422,0.125,0.111,0.2,0.222,0.0,0,1,0,0,0,0.714,0.286,0.0,2022-06-01
13473-AAA-CHW,Dwight Smith Jr.,CHW,29,AAA,60,71,0.217,0.091,0.124,0.083,0.627,0.293,0.236,0.3,0.327,0.091,1,2,0,0,0,0.262,0.548,0.19,2022-06-01
13593-AAA-NYY,Jose Peraza,NYY,28,AAA,127,53,0.134,0.096,0.089,0.063,0.566,0.216,0.202,0.268,0.298,0.041,2,5,0,1,1,0.5,0.306,0.194,2022-06-01
13607-AAA-WSN,Carl Edwards Jr.,WSN,30,AAA,0,-100,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,,,,2022-06-01
