idlevelorg,Name,Org,Age,Level,PA,wRC+,K%,ISO,SwStr%,BB%,OPS,BABIP,AVG,OBP,SLG,HR/FB,HR,2B,3B,SB,CS,FB%,GB%,LD%,Date
16542-A+-BAL,Shed Long Jr.,BAL,26,A+,20,90,0.4,0.125,0.117,0.2,0.662,0.375,0.188,0.35,0.312,0.0,0,0,1,0,0,0.25,0.5,0.25,2022-06-01
19844-A+-SEA,Abraham Toro,SEA,25,A+,5,227,0.0,0.0,0.0,0.2,1.1,0.5,0.5,0.6,0.5,0.0,0,0,0,0,0,0.5,0.5,0.0,2022-06-01
21646-A+-PHI,Rafael Marchan,PHI,23,A+,15,97,0.133,0.154,0.123,0.133,0.718,0.273,0.231,0.333,0.385,0.0,0,2,0,0,0,0.545,0.273,0.182,2022-06-01
24671-A+-WSN,Cody Wilson,WSN,25,A+,42,59,0.452,0.194,0.191,0.071,0.605,0.25,0.167,0.244,0.361,0.25,2,1,0,4,0,0.444,0.444,0.111,2022-06-01
26288-A+-BAL,Adley Rutschman,BAL,24,A+,15,229,0.0,0.231,0.066,0.133,1.226,0.462,0.462,0.533,0.692,0.0,0,3,0,0,0,0.231,0.385,0.385,2022-06-01
sa1052762-A+-ARI,Spencer Brickhouse,ARI,24,A+,52,117,0.423,0.292,0.235,0.058,0.769,0.273,0.208,0.269,0.5,0.286,4,2,0,0,0,0.538,0.269,0.192,2022-06-01
sa1052903-A+-MIN,Anthony Prato,MIN,24,A+,198,131,0.293,0.211,0.132,0.106,0.828,0.355,0.269,0.348,0.48,0.121,7,7,4,10,4,0.509,0.333,0.158,2022-06-01
sa1115752-A+-MIN,Seth Gray,MIN,24,A+,154,122,0.312,0.148,0.12,0.123,0.761,0.355,0.242,0.37,0.391,0.138,4,7,0,4,3,0.377,0.481,0.143,2022-06-01
sa1169881-A+-LAD,Zac Ching,LAD,25,A+,69,63,0.348,0.069,0.097,0.116,0.548,0.306,0.19,0.29,0.259,0.0,0,4,0,2,0,0.429,0.343,0.229,2022-06-01
sa1170041-A+-KCR,Burle Dixon,KCR,23,A+,123,67,0.415,0.125,0.182,0.073,0.584,0.339,0.196,0.262,0.321,0.077,2,8,0,5,0,0.433,0.383,0.183,2022-06-01
sa1170052-A+-NYM,Tanner Murphy,NYM,24,A+,42,45,0.429,0.132,0.19,0.048,0.554,0.333,0.184,0.238,0.316,0.0,0,3,1,0,0,0.333,0.429,0.238,2022-06-01
sa1170279-A+-NYM,Matt O'Neill,NYM,24,A+,90,135,0.3,0.229,0.072,0.2,0.857,0.357,0.229,0.4,0.457,0.1,1,5,4,0,0,0.244,0.512,0.244,2022-06-01
sa1170876-A+-ATL,Willie Carter,ATL,25,A+,67,41,0.358,0.018,0.227,0.104,0.48,0.294,0.179,0.284,0.196,0.0,0,1,0,1,0,0.533,0.267,0.2,2022-06-01
sa1170897-A+-PIT,Ernny Ordonez,PIT,23,A+,66,55,0.333,0.194,0.186,0.061,0.598,0.216,0.177,0.227,0.371,0.2,3,1,1,0,1,0.385,0.359,0.256,2022-06-01
sa1172775-A+-TOR,Anthony Morales,TOR,23,A+,30,-6,0.167,0.0,0.132,0.0,0.305,0.167,0.138,0.167,0.138,0.0,0,0,0,0,0,0.273,0.591,0.136,2022-06-01
sa3002670-A+-SDP,Justin Lopez,SDP,22,A+,128,46,0.227,0.092,0.157,0.055,0.512,0.233,0.185,0.234,0.277,0.029,1,6,1,0,0,0.389,0.489,0.122,2022-06-01
sa3002703-A+-ARI,Jose Curpa,ARI,22,A+,93,119,0.247,0.096,0.102,0.161,0.702,0.306,0.219,0.387,0.315,0.091,1,2,1,4,2,0.234,0.553,0.213,2022-06-01
sa3002712-A+-ARI,Axel Andueza,ARI,23,A+,47,41,0.234,0.025,0.109,0.128,0.452,0.207,0.15,0.277,0.175,0.0,0,1,0,1,0,0.357,0.393,0.25,2022-06-01
sa3002845-A+-LAD,Hector Martinez,LAD,21,A+,4,42,0.0,0.0,0.267,0.0,0.5,0.25,0.25,0.25,0.25,0.0,0,0,0,0,0,0.75,0.0,0.25,2022-06-01
sa3002875-A+-NYY,Eric Wagaman,NYY,24,A+,78,161,0.141,0.246,0.108,0.205,0.96,0.283,0.279,0.436,0.525,0.286,4,3,0,0,0,0.28,0.5,0.22,2022-06-01
