name,team,level,age,playerid,playeridlevel,date,playeridunique
Christian Bethancourt,OAK,AAA,30,10028,10028-AAA,2022-06-01,10028-AAA-2022-06-01-OAK
Max Stassi,LAA,A,31,10059,10059-A,2022-06-01,10059-A-2022-06-01-LAA
Tomas Telis,LAD,AAA,31,10067,10067-AAA,2022-06-01,10067-AAA-2022-06-01-LAD
Billy Hamilton,SEA,AAA,31,10199,10199-AAA,2022-06-01,10199-AAA-2022-06-01-SEA
Jon Singleton,MIL,AAA,30,10441,10441-AAA,2022-06-01,10441-AAA-2022-06-01-MIL
Derek Dietrich,NYY,AAA,32,10542,10542-AAA,2022-06-01,10542-AAA-2022-06-01-NYY
Derek Dietrich,NYY,AA,32,10542,10542-AA,2022-06-01,10542-AA-2022-06-01-NYY
David Freitas,NYY,AAA,33,10619,10619-AAA,2022-06-01,10619-AAA-2022-06-01-NYY
Carlos Perez,COL,AAA,31,10642,10642-AAA,2022-06-01,10642-AAA-2022-06-01-COL
Rob Brantly,NYY,AAA,32,10655,10655-AAA,2022-06-01,10655-AAA-2022-06-01-NYY
Ryan LaMarre,NYY,AAA,33,10700,10700-AAA,2022-06-01,10700-AAA-2022-06-01-NYY
Andrelton Simmons,CHC,AAA,32,10847,10847-AAA,2022-06-01,10847-AAA-2022-06-01-CHC
Phil Gosselin,ATL,AAA,33,10953,10953-AAA,2022-06-01,10953-AAA-2022-06-01-ATL
Elliot Soto,MIN,AAA,32,11155,11155-AAA,2022-06-01,11155-AAA-2022-06-01-MIN
Adrian Sanchez,WSN,AAA,31,11338,11338-AAA,2022-06-01,11338-AAA-2022-06-01-WSN
Delino DeShields,ATL,AAA,29,11379,11379-AAA,2022-06-01,11379-AAA-2022-06-01-ATL
Ronald Torreyes,PHI,AAA,29,11400,11400-AAA,2022-06-01,11400-AAA-2022-06-01-PHI
Tony Wolters,LAD,AAA,30,11470,11470-AAA,2022-06-01,11470-AAA-2022-06-01-LAD
Dixon Machado,CHC,AAA,30,11472,11472-AAA,2022-06-01,11472-AAA-2022-06-01-CHC
Odubel Herrera,PHI,A,30,11476,11476-A,2022-06-01,11476-A-2022-06-01-PHI
Odubel Herrera,PHI,AAA,30,11476,11476-AAA,2022-06-01,11476-AAA-2022-06-01-PHI
Yolmer Sanchez,BOS,AAA,30,11602,11602-AAA,2022-06-01,11602-AAA-2022-06-01-BOS
Stefen Romero,LAD,AAA,33,11746,11746-AAA,2022-06-01,11746-AAA-2022-06-01-LAD
Alberto Baldonado,WSN,AAA,29,11812,11812-AAA,2022-06-01,11812-AAA-2022-06-01-WSN
Yadiel Rivera,ARI,AAA,30,11863,11863-AAA,2022-06-01,11863-AAA-2022-06-01-ARI
Jon Berti,MIA,A,32,12037,12037-A,2022-06-01,12037-A-2022-06-01-MIA
Niko Goodrum,HOU,AAA,30,12092,12092-AAA,2022-06-01,12092-AAA-2022-06-01-HOU
Juniel Querecuto,CIN,AAA,29,12140,12140-AAA,2022-06-01,12140-AAA-2022-06-01-CIN
Jorge Bonifacio,PHI,AAA,29,12174,12174-AAA,2022-06-01,12174-AAA-2022-06-01-PHI
Jake Hager,ARI,AAA,29,12198,12198-AAA,2022-06-01,12198-AAA-2022-06-01-ARI
Scott Schebler,COL,AAA,31,12225,12225-AAA,2022-06-01,12225-AAA-2022-06-01-COL
Cory Spangenberg,STL,AAA,31,12294,12294-AAA,2022-06-01,12294-AAA-2022-06-01-STL
Tommy La Stella,SFG,AAA,33,12371,12371-AAA,2022-06-01,12371-AAA-2022-06-01-SFG
Beau Taylor,BAL,AAA,32,12384,12384-AAA,2022-06-01,12384-AAA-2022-06-01-BAL
Jason Krizan,SFG,AAA,33,12394,12394-AAA,2022-06-01,12394-AAA-2022-06-01-SFG
Taylor Motter,CIN,AAA,32,12399,12399-AAA,2022-06-01,12399-AAA-2022-06-01-CIN
Kevin Pillar,LAD,AAA,33,12434,12434-AAA,2022-06-01,12434-AAA-2022-06-01-LAD
John Hicks,CHC,AAA,32,12547,12547-AAA,2022-06-01,12547-AAA-2022-06-01-CHC
Nick Ramirez,SEA,AAA,32,12575,12575-AAA,2022-06-01,12575-AAA-2022-06-01-SEA
Alex Dickerson,ATL,AAA,32,12649,12649-AAA,2022-06-01,12649-AAA-2022-06-01-ATL
Dillon Thomas,LAA,AAA,29,12719,12719-AAA,2022-06-01,12719-AAA-2022-06-01-LAA
Andy Burns,LAD,AAA,31,12779,12779-AAA,2022-06-01,12779-AAA-2022-06-01-LAD
Taylor Davis,PIT,AAA,32,12782,12782-AAA,2022-06-01,12782-AAA-2022-06-01-PIT
Phillip Evans,NYY,AAA,29,12950,12950-AAA,2022-06-01,12950-AAA-2022-06-01-NYY
Michael Perez,PIT,AAA,29,12977,12977-AAA,2022-06-01,12977-AAA-2022-06-01-PIT
Cam Gallagher,KCR,AAA,29,12981,12981-AAA,2022-06-01,12981-AAA-2022-06-01-KCR
Erick Castillo,CHC,AAA,29,12990,12990-AAA,2022-06-01,12990-AAA-2022-06-01-CHC
Mitch Walding,SDP,AA,29,13006,13006-AA,2022-06-01,13006-AA-2022-06-01-SDP
John Andreoli,PHI,AAA,32,13012,13012-AAA,2022-06-01,13012-AAA-2022-06-01-PHI
Teoscar Hernandez,TOR,A,29,13066,13066-A,2022-06-01,13066-A-2022-06-01-TOR
Jose Briceno,KCR,AAA,29,13151,13151-AAA,2022-06-01,13151-AAA-2022-06-01-KCR
Robel Garcia,CHC,AAA,29,13167,13167-AAA,2022-06-01,13167-AAA-2022-06-01-CHC
Ildemaro Vargas,CHC,AAA,30,13324,13324-AAA,2022-06-01,13324-AAA-2022-06-01-CHC
Ildemaro Vargas,WSN,AAA,30,13324,13324-AAA,2022-06-01,13324-AAA-2022-06-01-WSN
Jake Lamb,LAD,AAA,31,13329,13329-AAA,2022-06-01,13329-AAA-2022-06-01-LAD
Luke Maile,CLE,AAA,31,13355,13355-AAA,2022-06-01,13355-AAA-2022-06-01-CLE
Erik Gonzalez,MIA,AAA,30,13369,13369-AAA,2022-06-01,13369-AAA-2022-06-01-MIA
Christian Lopes,OAK,AAA,29,13472,13472-AAA,2022-06-01,13472-AAA-2022-06-01-OAK
Dwight Smith Jr.,CHW,AAA,29,13473,13473-AAA,2022-06-01,13473-AAA-2022-06-01-CHW
Roman Quinn,PHI,AAA,29,13546,13546-AAA,2022-06-01,13546-AAA-2022-06-01-PHI
Jose Peraza,NYY,AAA,28,13593,13593-AAA,2022-06-01,13593-AAA-2022-06-01-NYY
Carl Edwards Jr.,WSN,AAA,30,13607,13607-AAA,2022-06-01,13607-AAA-2022-06-01-WSN
Mallex Smith,TOR,AAA,29,13608,13608-AAA,2022-06-01,13608-AAA-2022-06-01-TOR
Preston Tucker,ATL,AAA,31,13633,13633-AAA,2022-06-01,13633-AAA-2022-06-01-ATL
Jharel Cotton,MIN,AAA,30,13654,13654-AAA,2022-06-01,13654-AAA-2022-06-01-MIN
Jack Lopez,DET,AAA,29,13663,13663-AAA,2022-06-01,13663-AAA-2022-06-01-DET
David Dahl,MIL,AAA,28,13744,13744-AAA,2022-06-01,13744-AAA-2022-06-01-MIL
Rob Refsnyder,BOS,AAA,31,13770,13770-AAA,2022-06-01,13770-AAA-2022-06-01-BOS
Matt Reynolds,NYM,AAA,31,13788,13788-AAA,2022-06-01,13788-AAA-2022-06-01-NYM
Eric Stamets,TOR,AAA,30,13795,13795-AAA,2022-06-01,13795-AAA-2022-06-01-TOR
Matt Duffy,LAA,AAA,31,13836,13836-AAA,2022-06-01,13836-AAA-2022-06-01-LAA
Joey Wendle,MIA,A,32,13853,13853-A,2022-06-01,13853-A-2022-06-01-MIA
Tyler Heineman,TOR,AAA,31,13897,13897-AAA,2022-06-01,13897-AAA-2022-06-01-TOR
Patrick Kivlehan,CHW,AAA,32,13910,13910-AAA,2022-06-01,13910-AAA-2022-06-01-CHW
Albert Almora Jr.,CIN,AAA,28,14109,14109-AAA,2022-06-01,14109-AAA-2022-06-01-CIN
Greg Bird,NYY,AAA,29,14131,14131-AAA,2022-06-01,14131-AAA-2022-06-01-NYY
