Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches,PlayerId
"Christian Bethancourt","OAK","AAA",30,5,19,21,5,1,2,0,2,3,2,2,0,4,0,0,0,2,0,0,0.26315789,21,0.0952381,0.19047619,0.5,0.26315789,0.33333333,0.68421053,1.01754386,0.42105264,0.767857142857143,0.23076923,-0.012709606904536486,4.187046464595482,1.1028953307005611,0.4081179414476667,135.76009354988173,0.23076923,1.6,0.13333333,0.53333333,0.33333333,0,0.4,0.4,0.26666667,0.33333333,0.13924051,27,52,79,"10028"
"Chris Owings","NYY","AAA",30,29,90,99,18,13,2,1,2,12,9,8,0,27,1,0,0,1,3,0,0.2,99,0.08080808,0.27272727,0.2962963,0.2,0.27272727,0.31111111,0.58383838,0.11111111,7.534815974568332,0.26229508,0.44433941412717104,7.2574313313383865,-5.53056394749691,0.26705457285197093,56.751908122375994,0.26229508,0.54545455,0.16393443,0.29508197,0.54098361,0.18181818,0.06060606,0.49180328,0.26229508,0.24590164,0.14851485,143,261,404,"10030"
"Wil Myers","SDP","A",31,5,18,20,6,3,1,0,2,5,4,2,0,3,0,0,0,0,0,0,0.33333333,20,0.1,0.15,0.66666667,0.33333333,0.4,0.72222222,1.12222222,0.38888889,2.642857142857143,0.30769231,-0.027332543395459652,5.096368943776158,2.189174150551823,0.4785255163908005,175.30194246543198,0.30769231,0.3,0.13333333,0.2,0.66666667,0.2,0.2,0.33333333,0.4,0.26666667,0.08823529,28,40,68,"10047"
"Wil Myers","SDP","AAA",31,9,35,38,8,5,1,0,2,3,3,3,0,9,0,0,0,0,0,0,0.22857143,38,0.07894737,0.23684211,0.33333333,0.22857143,0.28947368,0.42857143,0.71804511,0.2,0.21230158035714297,0.25,-0.03389228507876396,4.051904157395727,-1.528940751556986,0.3081623990284769,72.60377637256536,0.25,0.69230769,0.15384615,0.34615385,0.5,0.23076923,0.15384615,0.46153846,0.19230769,0.34615385,0.14482759,58,87,145,"10047"
"Max Stassi","LAA","A",31,2,8,8,3,1,1,0,1,2,2,0,0,2,0,0,0,0,0,0,0.375,8,0,0.25,0,0.375,0.375,0.875,1.25,0.5,2.642857142857143,0.4,-0.00546650867909193,2.354605164982379,1.191727247692645,0.5238121971487999,202.48085632842262,0.4,1,0,0.5,0.5,0,0.33333333,0.5,0.33333333,0.16666667,0.14814815,8,19,27,"10059"
"Tomas Telis","LAD","AAA",31,57,190,225,56,48,7,0,1,27,27,28,0,22,4,2,2,6,0,0,0.29473684,225,0.12444444,0.09777778,1.27272727,0.29473684,0.39285714,0.34736842,0.74022556,0.05263158,1.475688455357143,0.32544379,-0.3389228507876396,32.20377408405674,-0.8407023505316921,0.3474949981485094,97.45584605585789,0.32544379,2.44444444,0.26627219,0.52071006,0.21301775,0.16666667,0.02777778,0.37209302,0.24418605,0.38372093,0.04805492,342,532,874,"10067"
"Jonathan Villar","SEA","AAA",31,7,28,29,8,6,2,0,0,4,4,1,0,6,0,0,0,2,2,0,0.28571429,29,0.03448276,0.20689655,0.16666667,0.28571429,0.31034483,0.35714286,0.66748769,0.07142857,6.56178661841677,0.36363636,0.370344256516546,2.8234948828637703,-1.4355709687054055,0.2981757316096076,66.29375974131756,0.36363636,6,0.04545455,0.81818182,0.13636364,0,0,0.36363636,0.31818182,0.31818182,0.16346154,36,68,104,"10071"
"Billy Hamilton","SEA","AAA",31,22,86,95,16,14,2,0,0,11,5,9,0,25,0,0,0,0,4,0,0.18604651,95,0.09473684,0.26315789,0.36,0.18604651,0.26315789,0.20930233,0.47246022,0.02325582,5.994486559355067,0.26229508,0.7025596923194826,3.221588372781122,-10.73052389960066,0.22979900021302072,23.090327184065593,0.26229508,1.23809524,0.18965517,0.44827586,0.36206897,0.38095238,0,0.54098361,0.13114754,0.32786885,0.13390313,125,226,351,"10199"
"Billy Hamilton","MIA","AAA",31,1,3,3,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0.33333333,3,0,0.66666667,0,0.33333333,0.33333333,0.66666667,1,0.33333334,0.142857142857143,1,0,0.6094241563618892,0.22190914791233468,0.4211781819661458,157.26465893545443,1,0,1,0,0,0,0,1,0,0,0.25,2,10,12,"10199"
"Danny Santana","BOS","CPX",31,4,13,13,2,2,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0.15384615,13,0,0.30769231,0,0.15384615,0.15384615,0.15384615,0.3076923,0,0.142857142857143,0.22222222,-0.0014387418050318956,-0.26102156992641734,-2.0000387882777817,0.14870018225449783,-15.009717395085536,0.22222222,0.8,0,0.44444444,0.55555556,0,0,0.77777778,0,0.22222222,0.40909091,1,21,22,"10322"
