idlevelorg,Name,Org,Age,Level,PA,xSpect,K%,ISO,BB%,OPS,BABIP,AVG,OBP,SLG,XBH,HR,SB,CS,eFB%,eGB%,eLD%,Days,Date
sa3010399-A+-PIT,Matt Gorski,PIT,24,A+,30,1.448,0.333,0.966,0.033,1.745,0.2,0.379,0.4,1.345,10,9,0,0,0.3,0.1,0.7,18,2022-06-01
sa3014448-A+-TEX,Trevor Hauver,TEX,23,A+,53,1.274,0.151,0.385,0.226,1.316,0.407,0.385,0.547,0.769,7,4,0,0,0.259,0.556,0.148,18,2022-06-01
sa3005581-A+-BOS,Ceddanne Rafaela,BOS,21,A+,48,0.739,0.25,0.37,0.042,1.263,0.562,0.435,0.458,0.804,10,2,2,0,0.281,0.406,0.312,18,2022-06-01
sa917068-A+-COL,Daniel Montano,COL,23,A+,50,0.962,0.12,0.231,0.18,1.232,0.5,0.462,0.54,0.692,6,1,0,0,0.294,0.353,0.353,18,2022-06-01
sa3017215-A+-HOU,Quincy Hamilton,HOU,24,A+,24,0.545,0.25,0.273,0.083,1.227,0.6,0.455,0.5,0.727,4,1,0,1,0.4,0.4,0.267,18,2022-06-01
26288-A+-BAL,Adley Rutschman,BAL,24,A+,15,inf,0.0,0.231,0.133,1.226,0.462,0.462,0.533,0.692,3,0,0,0,0.231,0.385,0.385,18,2022-06-01
sa3017040-A+-HOU,Chad Stevens,HOU,23,A+,54,1.148,0.148,0.34,0.056,1.223,0.432,0.42,0.463,0.76,7,5,3,2,0.324,0.432,0.243,18,2022-06-01
sa3010599-A+-DET,Jake Holton,DET,24,A+,51,1.328,0.157,0.417,0.216,1.212,0.261,0.306,0.49,0.722,5,5,0,0,0.391,0.435,0.087,18,2022-06-01
sa3007298-A+-PHI,Rixon Wingrove,PHI,22,A+,19,0.643,0.368,0.474,0.0,1.211,0.444,0.368,0.368,0.842,3,3,0,0,0.556,0.444,0.0,18,2022-06-01
sa3004972-A+-LAD,Imanol Vargas,LAD,24,A+,59,0.565,0.288,0.326,0.237,1.2,0.5,0.349,0.525,0.674,6,4,0,0,0.409,0.318,0.273,18,2022-06-01
sa3010696-A+-HOU,Colin Barber,HOU,21,A+,44,0.425,0.159,0.135,0.091,1.19,0.586,0.486,0.568,0.622,3,1,1,3,0.241,0.655,0.138,18,2022-06-01
sa1169587-A+-CIN,Rece Hinds,CIN,21,A+,57,0.526,0.263,0.277,0.158,1.19,0.567,0.404,0.509,0.681,7,2,3,0,0.3,0.4,0.333,18,2022-06-01
sa3014884-A+-ATL,Landon Stephens,ATL,24,A+,57,0.972,0.193,0.375,0.123,1.185,0.394,0.354,0.456,0.729,10,4,1,0,0.515,0.273,0.212,18,2022-06-01
sa3017338-A+-CHW,Terrell Tatum,CHW,22,A+,50,1.27,0.14,0.356,0.08,1.173,0.4,0.378,0.44,0.733,9,3,2,1,0.257,0.6,0.171,18,2022-06-01
sa3005478-A+-MIL,Carlos Rodriguez,MIL,21,A+,54,0.894,0.167,0.298,0.111,1.144,0.444,0.383,0.463,0.681,9,2,3,2,0.278,0.472,0.222,18,2022-06-01
