idlevelorg,Name,Org,Age,Level,PA,xSpect,K%,ISO,BB%,OPS,BABIP,AVG,OBP,SLG,XBH,HR,SB,CS,eFB%,eGB%,eLD%,Days,Date
19667-AAA-TEX,Zach Reks,TEX,28,AAA,14,2.692,0.143,0.769,0.071,1.879,0.5,0.538,0.571,1.308,4,3,0,0,0.375,0.25,0.375,7,2022-06-03
14553-AAA-SDP,Nomar Mazara,SDP,27,AAA,14,2.25,0.143,0.643,0.0,1.786,0.6,0.571,0.571,1.214,5,2,0,0,0.2,0.3,0.5,7,2022-06-03
sa857823-AA-LAA,Preston Palmeiro,LAA,27,AA,23,6.571,0.043,0.571,0.391,1.767,0.455,0.5,0.696,1.071,4,2,0,0,0.545,0.091,0.273,7,2022-06-03
sa917068-A+-COL,Daniel Montano,COL,23,A+,10,4.167,0.1,0.833,0.4,1.767,0.25,0.333,0.6,1.167,2,1,0,0,0.25,0.0,0.75,7,2022-06-03
sa3004297-AA-MIL,Brent Diaz,MIL,26,AA,14,4.2,0.071,0.6,0.214,1.743,0.429,0.5,0.643,1.1,2,2,0,0,0.571,0.286,0.143,7,2022-06-03
sa3008306-AAA-TEX,Steele Walker,TEX,25,AAA,15,2.5,0.067,0.333,0.133,1.733,0.727,0.667,0.733,1.0,4,0,0,0,0.273,0.273,0.455,7,2022-06-03
sa3010336-A-COL,Trevor Boone,COL,24,A,12,2.667,0.167,0.889,0.25,1.722,0.2,0.333,0.5,1.222,3,2,1,0,0.8,0.0,0.0,7,2022-06-03
sa3014693-A-MIN,Emmanuel Rodriguez,MIN,19,A,22,1.512,0.227,0.688,0.273,1.716,0.556,0.438,0.591,1.125,5,2,0,0,0.222,0.444,0.444,7,2022-06-03
sa3005563-A-OAK,Jhoan Paulino,OAK,21,A,10,0.938,0.2,0.375,0.2,1.7,0.8,0.625,0.7,1.0,1,1,0,0,0.2,0.6,0.4,7,2022-06-03
sa3007078-AAA-TBR,Jordan Qsar,TBR,26,AAA,20,1.806,0.2,0.722,0.1,1.667,0.455,0.444,0.5,1.167,6,3,1,1,0.273,0.273,0.455,7,2022-06-03
sa872729-A+-SEA,Dariel Gomez,SEA,25,A+,24,2.167,0.167,0.722,0.208,1.653,0.364,0.389,0.542,1.111,7,3,0,0,0.545,0.273,0.364,7,2022-06-03
sa3010696-A+-HOU,Colin Barber,HOU,21,A+,23,2.556,0.087,0.444,0.174,1.652,0.571,0.556,0.652,1.0,4,2,0,2,0.286,0.5,0.214,7,2022-06-03
sa917288-AA-HOU,Enmanuel Valdez,HOU,23,AA,30,1.413,0.2,0.565,0.233,1.643,0.571,0.478,0.6,1.043,7,3,1,0,0.286,0.214,0.5,7,2022-06-03
sa738300-AAA-CHC,Narciso Crook,CHC,26,AAA,13,0.812,0.308,0.5,0.231,1.615,0.8,0.5,0.615,1.0,2,1,1,0,0.2,0.0,0.4,7,2022-06-03
sa916969-AA-NYY,Jesus Bastidas,NYY,23,AA,17,1.177,0.294,0.692,0.176,1.606,0.4,0.385,0.529,1.077,3,3,2,1,0.4,0.6,0.2,7,2022-06-03
sa3015076-A+-NYM,Brandon McIlwain,NYM,24,A+,23,1.184,0.174,0.412,0.13,1.593,0.636,0.529,0.652,0.941,3,2,0,1,0.545,0.364,0.091,7,2022-06-03
19878-AAA-CHW,Adam Haseley,CHW,26,AAA,25,1.413,0.2,0.565,0.08,1.563,0.5,0.478,0.52,1.043,5,4,4,0,0.357,0.5,0.143,7,2022-06-03
sa3017511-A-TEX,Tucker Mitchell,TEX,21,A,13,1.333,0.231,0.615,0.0,1.538,0.5,0.462,0.462,1.077,4,2,0,0,0.625,0.125,0.375,7,2022-06-03
sa737626-AAA-STL,Ben DeLuzio,STL,27,AAA,25,4.605,0.04,0.368,0.2,1.535,0.529,0.526,0.64,0.895,5,1,4,0,0.176,0.529,0.353,7,2022-06-03
sa873990-AAA-OAK,Vince Fernandez,OAK,26,AAA,19,1.781,0.158,0.562,0.105,1.526,0.4,0.438,0.526,1.0,3,3,0,0,0.3,0.2,0.5,7,2022-06-03
sa3010899-AA-MIA,Troy Johnston,MIA,25,AA,27,2.43,0.074,0.36,0.0,1.516,0.538,0.6,0.556,0.96,6,1,0,0,0.462,0.231,0.346,7,2022-06-03
sa3005570-A-LAD,Yunior Garcia,LAD,20,A,17,1.962,0.118,0.462,0.176,1.511,0.444,0.462,0.588,0.923,2,2,0,0,0.111,0.444,0.444,7,2022-06-03
19354-AAA-TBR,Luke Raley,TBR,27,AAA,22,1.222,0.227,0.556,0.091,1.5,0.417,0.444,0.5,1.0,4,3,0,0,0.417,0.417,0.25,7,2022-06-03
sa3016974-A-NYY,Ben Rice,NYY,23,A,10,inf,0.0,0.556,0.1,1.5,0.375,0.444,0.5,1.0,3,1,0,0,0.125,0.5,0.375,7,2022-06-03
