idlevelorg,Name,Org,Age,Level,PA,wRC+,K%,ISO,SwStr%,BB%,OPS,BABIP,AVG,OBP,SLG,HR/FB,HR,2B,3B,SB,CS,FB%,GB%,LD%,Pull%,Cent%,Oppo%,Date,hmm
sa3016936-A-TBR,Kyle Whitten,TBR,23,A,0,-100,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,,,,,,,2022-06-03,0.0
sa917292-AA-HOU,Ronaldo Urdaneta,HOU,23,AA,12,-40,0.417,0.0,0.167,0.167,0.167,0.0,0.0,0.167,0.0,0.0,0,0,0,0,0,0.6,0.4,0.0,0.6,0.4,0.0,2022-06-03,0.0
sa923239-AAA-SDP,Reinaldo Ilarraza,SDP,23,AAA,4,-100,0.5,0.0,0.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,2022-06-03,0.0
19260-AAA-CIN,Jake Fraley,CIN,27,AAA,12,119,0.333,0.3,0.082,0.167,0.833,0.2,0.2,0.333,0.5,0.25,1,0,0,0,0,0.667,0.333,0.0,0.667,0.333,0.0,2022-06-03,0.34590090199965207
10067-AAA-LAD,Tomas Telis,LAD,31,AAA,98,99,0.102,0.036,0.057,0.102,0.737,0.347,0.31,0.392,0.345,0.0,0,3,0,0,0,0.253,0.52,0.227,0.253,0.52,0.227,2022-06-03,0.11146002047496355
10441-AAA-MIL,Jon Singleton,MIL,30,AAA,175,111,0.28,0.234,0.128,0.206,0.778,0.22,0.19,0.354,0.423,0.205,8,6,1,2,0,0.459,0.341,0.2,0.459,0.341,0.2,2022-06-03,0.29058454372317943
10542-AAA-NYY,Derek Dietrich,NYY,32,AAA,47,103,0.255,0.175,0.16,0.064,0.74,0.296,0.225,0.34,0.4,0.067,1,4,0,0,0,0.536,0.286,0.179,0.536,0.286,0.179,2022-06-03,0.25143305168671354
10542-AA-NYY,Derek Dietrich,NYY,32,AA,77,199,0.299,0.419,0.144,0.117,1.131,0.344,0.29,0.421,0.71,0.259,7,5,0,0,0,0.711,0.105,0.184,0.711,0.105,0.184,2022-06-03,0.5041557918291789
10700-AAA-NYY,Ryan LaMarre,NYY,33,AAA,62,77,0.242,0.094,0.089,0.081,0.624,0.289,0.208,0.323,0.302,0.0,0,5,0,2,1,0.243,0.486,0.27,0.243,0.486,0.27,2022-06-03,0.15451045761039733
11338-AAA-WSN,Adrian Sanchez,WSN,31,AAA,67,78,0.224,0.068,0.108,0.119,0.633,0.318,0.237,0.328,0.305,0.0,0,4,0,0,0,0.25,0.591,0.159,0.25,0.591,0.159,2022-06-03,0.12921070432622192
11379-AAA-ATL,Delino DeShields,ATL,29,AAA,136,101,0.279,0.038,0.098,0.184,0.68,0.371,0.245,0.397,0.283,0.0,0,4,0,10,5,0.377,0.435,0.188,0.377,0.435,0.188,2022-06-03,0.08301680118964755
11400-AAA-PHI,Ronald Torreyes,PHI,29,AAA,38,21,0.053,0.029,0.053,0.079,0.437,0.182,0.171,0.237,0.2,0.0,0,1,0,0,0,0.364,0.515,0.121,0.364,0.515,0.121,2022-06-03,0.06348563912508028
11472-AAA-CHC,Dixon Machado,CHC,30,AAA,191,117,0.126,0.044,0.061,0.152,0.753,0.348,0.296,0.414,0.34,0.0,0,7,0,8,2,0.299,0.47,0.231,0.299,0.47,0.231,2022-06-03,0.1206685465721648
11476-AAA-PHI,Odubel Herrera,PHI,30,AAA,13,-6,0.077,0.077,0.023,0.0,0.385,0.167,0.154,0.154,0.231,0.0,0,1,0,0,0,0.333,0.5,0.167,0.333,0.5,0.167,2022-06-03,0.12628606121589092
11746-AAA-LAD,Stefen Romero,LAD,33,AAA,72,136,0.181,0.262,0.134,0.056,0.96,0.36,0.323,0.375,0.585,0.167,3,8,0,0,0,0.346,0.481,0.173,0.346,0.481,0.173,2022-06-03,0.38815944231953514
11812-AAA-WSN,Alberto Baldonado,WSN,29,AAA,0,-100,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,,,,,,,2022-06-03,0.0
12037-A-MIA,Jon Berti,MIA,32,A,6,36,0.167,0.167,0.05,0.0,0.5,0.2,0.167,0.167,0.333,0.0,0,1,0,0,0,0.4,0.2,0.4,0.4,0.2,0.4,2022-06-03,0.23116316249177588
12092-AAA-HOU,Niko Goodrum,HOU,30,AAA,58,169,0.207,0.214,0.078,0.276,1.024,0.393,0.31,0.5,0.524,0.25,2,3,0,2,0,0.286,0.464,0.25,0.286,0.464,0.25,2022-06-03,0.3386083684644815
12140-AAA-CIN,Juniel Querecuto,CIN,29,AAA,68,85,0.118,0.127,0.071,0.074,0.69,0.291,0.254,0.309,0.381,0.0,0,6,1,1,2,0.315,0.463,0.222,0.315,0.463,0.222,2022-06-03,0.22797646104499625
12198-AAA-ARI,Jake Hager,ARI,29,AAA,91,92,0.22,0.141,0.085,0.165,0.743,0.296,0.239,0.363,0.38,0.056,1,7,0,2,1,0.333,0.463,0.204,0.333,0.463,0.204,2022-06-03,0.21972954013651827
12225-AAA-COL,Scott Schebler,COL,31,AAA,169,94,0.278,0.216,0.178,0.083,0.792,0.316,0.25,0.325,0.466,0.162,6,4,5,2,0,0.359,0.427,0.214,0.359,0.427,0.214,2022-06-03,0.2971111058403488
12394-AAA-SFG,Jason Krizan,SFG,33,AAA,107,65,0.168,0.138,0.055,0.112,0.65,0.24,0.213,0.299,0.351,0.069,2,7,0,0,0,0.387,0.44,0.173,0.387,0.44,0.173,2022-06-03,0.21054828931217004
12434-AAA-LAD,Kevin Pillar,LAD,33,AAA,153,153,0.111,0.307,0.083,0.131,1.034,0.298,0.315,0.412,0.622,0.17,9,6,3,2,1,0.477,0.324,0.198,0.477,0.324,0.198,2022-06-03,0.43439828096850214
12547-AAA-CHC,John Hicks,CHC,32,AAA,116,65,0.302,0.202,0.242,0.043,0.645,0.243,0.202,0.241,0.404,0.185,5,5,1,2,1,0.375,0.417,0.208,0.375,0.417,0.208,2022-06-03,0.25850068215575756
12990-AAA-CHC,Erick Castillo,CHC,29,AAA,22,83,0.227,0.0,0.108,0.091,0.627,0.357,0.263,0.364,0.263,0.0,0,0,0,0,0,0.071,0.857,0.071,0.071,0.857,0.071,2022-06-03,0.0
13006-AA-SDP,Mitch Walding,SDP,29,AA,29,21,0.276,0.045,0.134,0.241,0.367,0.071,0.045,0.276,0.091,0.0,0,1,0,1,0,0.5,0.429,0.071,0.5,0.429,0.071,2022-06-03,0.052766469912143815
13012-AAA-PHI,John Andreoli,PHI,32,AAA,136,76,0.36,0.106,0.108,0.213,0.595,0.259,0.154,0.336,0.26,0.071,2,3,1,6,1,0.509,0.291,0.2,0.509,0.291,0.2,2022-06-03,0.1449499591568825
13151-AAA-KCR,Jose Briceno,KCR,29,AAA,19,59,0.158,0.0,0.088,0.053,0.551,0.286,0.235,0.316,0.235,0.0,0,0,0,0,0,0.5,0.286,0.214,0.5,0.286,0.214,2022-06-03,0.0
13167-AAA-CHC,Robel Garcia,CHC,29,AAA,165,161,0.309,0.324,0.139,0.145,1.013,0.372,0.295,0.394,0.619,0.343,12,7,1,0,1,0.393,0.292,0.315,0.393,0.292,0.315,2022-06-03,0.416173733794419
13324-AAA-CHC,Ildemaro Vargas,CHC,30,AAA,112,95,0.107,0.135,0.051,0.062,0.735,0.304,0.279,0.321,0.413,0.03,1,3,4,1,0,0.355,0.419,0.226,0.355,0.419,0.226,2022-06-03,0.24697040457492353
13329-AAA-LAD,Jake Lamb,LAD,31,AAA,195,118,0.262,0.227,0.122,0.144,0.865,0.311,0.264,0.374,0.491,0.262,11,4,0,0,1,0.368,0.377,0.254,0.368,0.377,0.254,2022-06-03,0.3115362515773024
13369-AAA-MIA,Erik Gonzalez,MIA,30,AAA,115,156,0.174,0.131,0.125,0.061,0.949,0.471,0.393,0.426,0.523,0.045,1,9,1,4,1,0.256,0.57,0.174,0.256,0.57,0.174,2022-06-03,0.27831964228111444
13472-AAA-OAK,Christian Lopes,OAK,29,AAA,144,46,0.264,0.056,0.134,0.083,0.554,0.289,0.206,0.292,0.262,0.0,0,7,0,3,1,0.433,0.278,0.289,0.433,0.278,0.289,2022-06-03,0.09938457214542905
13607-AAA-WSN,Carl Edwards Jr.,WSN,30,AAA,0,-100,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,,,,,,,2022-06-03,0.0
13654-AAA-MIN,Jharel Cotton,MIN,30,AAA,0,-100,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0,,,,,,,2022-06-03,0.0
